BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Norddjurs,I alt,I alt,Alder i alt,I alt,2018,25996
Lemvig,I alt,I alt,Alder i alt,I alt,2018,13465
Slagelse,I alt,I alt,Alder i alt,I alt,2014,54322
Roskilde,I alt,I alt,Alder i alt,I alt,2014,59582
Kalundborg,I alt,I alt,Alder i alt,I alt,2014,33648
Struer,I alt,I alt,Alder i alt,I alt,2018,14145
Herning,I alt,I alt,Alder i alt,I alt,2018,61140
Dragør,I alt,I alt,Alder i alt,I alt,2014,9177
Næstved,I alt,I alt,Alder i alt,I alt,2013,57257
Tårnby,I alt,I alt,Alder i alt,I alt,2014,29529
Lolland,I alt,I alt,Alder i alt,I alt,2013,30086
Syddjurs,I alt,I alt,Alder i alt,I alt,2018,28380
Holstebro,I alt,I alt,Alder i alt,I alt,2018,39646
Odsherred,I alt,I alt,Alder i alt,I alt,2014,22418
Fanø,I alt,I alt,Alder i alt,I alt,2013,2242
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2018,28125
Kerteminde,I alt,I alt,Alder i alt,I alt,2013,16229
Skanderborg,I alt,I alt,Alder i alt,I alt,2018,41247
Ringsted,I alt,I alt,Alder i alt,I alt,2014,23646
Morsø,I alt,I alt,Alder i alt,I alt,2018,13576
Glostrup,I alt,I alt,Alder i alt,I alt,2014,15650
Hvidovre,I alt,I alt,Alder i alt,I alt,2014,36617
Ærø,I alt,I alt,Alder i alt,I alt,2013,4222
Allerød,I alt,I alt,Alder i alt,I alt,2014,16188
Fredericia,I alt,I alt,Alder i alt,I alt,2013,35128
Viborg,I alt,I alt,Alder i alt,I alt,2018,66135
Favrskov,I alt,I alt,Alder i alt,I alt,2013,32173
Svendborg,I alt,I alt,Alder i alt,I alt,2013,40436
Varde,I alt,I alt,Alder i alt,I alt,2013,34325
Vejle,I alt,I alt,Alder i alt,I alt,2013,76073
Herning,I alt,I alt,Alder i alt,I alt,2013,60984
Struer,I alt,I alt,Alder i alt,I alt,2013,14923
Silkeborg,I alt,I alt,Alder i alt,I alt,2018,63232
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2018,38238
Hillerød,I alt,I alt,Alder i alt,I alt,2014,33760
Vordingborg,I alt,I alt,Alder i alt,I alt,2013,31365
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2018,24957
Aarhus,I alt,I alt,Alder i alt,I alt,2018,257375
Skive,I alt,I alt,Alder i alt,I alt,2018,31264
Ballerup,I alt,I alt,Alder i alt,I alt,2014,32701
Silkeborg,I alt,I alt,Alder i alt,I alt,2013,62210
Christiansø,I alt,I alt,Alder i alt,I alt,2013,73
Odder,I alt,I alt,Alder i alt,I alt,2018,15156
Egedal,I alt,I alt,Alder i alt,I alt,2014,29121
Køge,I alt,I alt,Alder i alt,I alt,2014,41194
Haderslev,I alt,I alt,Alder i alt,I alt,2013,38985
Tønder,I alt,I alt,Alder i alt,I alt,2013,26481
Favrskov,I alt,I alt,Alder i alt,I alt,2018,32298
Gentofte,I alt,I alt,Alder i alt,I alt,2014,51229
Assens,I alt,I alt,Alder i alt,I alt,2013,28251
Nyborg,I alt,I alt,Alder i alt,I alt,2013,21493
Brønderslev,I alt,I alt,Alder i alt,I alt,2018,24091
Rødovre,I alt,I alt,Alder i alt,I alt,2014,25957
Hedensted,I alt,I alt,Alder i alt,I alt,2018,31557
Solrød,I alt,I alt,Alder i alt,I alt,2014,14980
Holbæk,I alt,I alt,Alder i alt,I alt,2014,48210
Samsø,I alt,I alt,Alder i alt,I alt,2018,2340
København,I alt,I alt,Alder i alt,I alt,2014,452348
Thisted,I alt,I alt,Alder i alt,I alt,2018,29385
Vallensbæk,I alt,I alt,Alder i alt,I alt,2014,10314
Syddjurs,I alt,I alt,Alder i alt,I alt,2013,28821
Randers,I alt,I alt,Alder i alt,I alt,2018,67495
Vejen,I alt,I alt,Alder i alt,I alt,2013,29028
Horsens,I alt,I alt,Alder i alt,I alt,2013,60559
Frederikshavn,I alt,I alt,Alder i alt,I alt,2018,40074
Herlev,I alt,I alt,Alder i alt,I alt,2014,19246
Odder,I alt,I alt,Alder i alt,I alt,2013,14999
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2018,28809
Fredensborg,I alt,I alt,Alder i alt,I alt,2014,27425
Nordfyns,I alt,I alt,Alder i alt,I alt,2013,20090
Hjørring,I alt,I alt,Alder i alt,I alt,2018,43969
Holstebro,I alt,I alt,Alder i alt,I alt,2013,39783
Jammerbugt,I alt,I alt,Alder i alt,I alt,2018,25625
Bornholm,I alt,I alt,Alder i alt,I alt,2013,27919
Læsø,I alt,I alt,Alder i alt,I alt,2018,1121
Esbjerg,I alt,I alt,Alder i alt,I alt,2013,82037
Rebild,I alt,I alt,Alder i alt,I alt,2018,19903
Aalborg,I alt,I alt,Alder i alt,I alt,2018,155105
Billund,I alt,I alt,Alder i alt,I alt,2013,18123
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2014,34508
Kolding,I alt,I alt,Alder i alt,I alt,2018,63874
Frederikssund,I alt,I alt,Alder i alt,I alt,2018,30328
Hørsholm,I alt,I alt,Alder i alt,I alt,2014,15999
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2013,34793
Odense,I alt,I alt,Alder i alt,I alt,2013,142498
Brøndby,I alt,I alt,Alder i alt,I alt,2014,24460
Ærø,I alt,I alt,Alder i alt,I alt,2018,3797
Fanø,I alt,I alt,Alder i alt,I alt,2018,2140
Halsnæs,I alt,I alt,Alder i alt,I alt,2018,21068
Frederikssund,I alt,I alt,Alder i alt,I alt,2014,30350
Halsnæs,I alt,I alt,Alder i alt,I alt,2014,21302
Aabenraa,I alt,I alt,Alder i alt,I alt,2013,40840
Norddjurs,I alt,I alt,Alder i alt,I alt,2013,26681
Gribskov,I alt,I alt,Alder i alt,I alt,2018,27327
Faxe,I alt,I alt,Alder i alt,I alt,2018,25012
Slagelse,I alt,I alt,Alder i alt,I alt,2018,54567
Lejre,I alt,I alt,Alder i alt,I alt,2018,18423
Faxe,I alt,I alt,Alder i alt,I alt,2014,24592
Randers,I alt,I alt,Alder i alt,I alt,2013,67675
Guldborgsund,I alt,I alt,Alder i alt,I alt,2013,42399
Kerteminde,I alt,I alt,Alder i alt,I alt,2018,15716
Gladsaxe,I alt,I alt,Alder i alt,I alt,2014,46910
Langeland,I alt,I alt,Alder i alt,I alt,2013,8604
Ishøj,I alt,I alt,Alder i alt,I alt,2014,15758
Kolding,I alt,I alt,Alder i alt,I alt,2013,63216
Lemvig,I alt,I alt,Alder i alt,I alt,2013,14394
Gribskov,I alt,I alt,Alder i alt,I alt,2014,28018
Middelfart,I alt,I alt,Alder i alt,I alt,2013,25899
Guldborgsund,I alt,I alt,Alder i alt,I alt,2018,40908
Middelfart,I alt,I alt,Alder i alt,I alt,2018,25767
Sønderborg,I alt,I alt,Alder i alt,I alt,2013,51399
Svendborg,I alt,I alt,Alder i alt,I alt,2018,39838
Furesø,I alt,I alt,Alder i alt,I alt,2014,25722
Dragør,I alt,I alt,Alder i alt,I alt,2013,9224
Tårnby,I alt,I alt,Alder i alt,I alt,2013,29094
Allerød,I alt,I alt,Alder i alt,I alt,2013,16139
Frederiksberg,I alt,I alt,Alder i alt,I alt,2014,76049
Albertslund,I alt,I alt,Alder i alt,I alt,2014,19599
Varde,I alt,I alt,Alder i alt,I alt,2018,33824
Fredericia,I alt,I alt,Alder i alt,I alt,2018,35009
Rudersdal,I alt,I alt,Alder i alt,I alt,2018,36270
Helsingør,I alt,I alt,Alder i alt,I alt,2014,42362
Hillerød,I alt,I alt,Alder i alt,I alt,2013,33481
Haderslev,I alt,I alt,Alder i alt,I alt,2018,37868
Sorø,I alt,I alt,Alder i alt,I alt,2013,20376
Greve,I alt,I alt,Alder i alt,I alt,2018,33373
Rudersdal,I alt,I alt,Alder i alt,I alt,2014,36115
Glostrup,I alt,I alt,Alder i alt,I alt,2013,15475
Hvidovre,I alt,I alt,Alder i alt,I alt,2013,36370
Holbæk,I alt,I alt,Alder i alt,I alt,2013,48503
Ringsted,I alt,I alt,Alder i alt,I alt,2013,23553
Tønder,I alt,I alt,Alder i alt,I alt,2018,25344
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2014,37439
Greve,I alt,I alt,Alder i alt,I alt,2014,33662
Roskilde,I alt,I alt,Alder i alt,I alt,2018,60172
Kalundborg,I alt,I alt,Alder i alt,I alt,2018,32934
Egedal,I alt,I alt,Alder i alt,I alt,2013,29016
Køge,I alt,I alt,Alder i alt,I alt,2013,40848
Lolland,I alt,I alt,Alder i alt,I alt,2018,27516
Christiansø,I alt,I alt,Alder i alt,I alt,2018,60
Nyborg,I alt,I alt,Alder i alt,I alt,2018,21378
Tønder,I alt,I alt,Alder i alt,I alt,2014,26181
Varde,I alt,I alt,Alder i alt,I alt,2014,34374
Vejle,I alt,I alt,Alder i alt,I alt,2018,78518
Rødovre,I alt,I alt,Alder i alt,I alt,2013,25895
Odsherred,I alt,I alt,Alder i alt,I alt,2018,21807
Stevns,I alt,I alt,Alder i alt,I alt,2018,15350
Solrød,I alt,I alt,Alder i alt,I alt,2013,14866
Vordingborg,I alt,I alt,Alder i alt,I alt,2018,30762
Assens,I alt,I alt,Alder i alt,I alt,2018,27867
Nordfyns,I alt,I alt,Alder i alt,I alt,2014,20074
Ballerup,I alt,I alt,Alder i alt,I alt,2013,32975
Gentofte,I alt,I alt,Alder i alt,I alt,2013,50777
Odder,I alt,I alt,Alder i alt,I alt,2014,14949
Vallensbæk,I alt,I alt,Alder i alt,I alt,2013,10329
Nordfyns,I alt,I alt,Alder i alt,I alt,2018,20172
Fredericia,I alt,I alt,Alder i alt,I alt,2014,35056
Vejen,I alt,I alt,Alder i alt,I alt,2018,28923
Holstebro,I alt,I alt,Alder i alt,I alt,2014,39832
Syddjurs,I alt,I alt,Alder i alt,I alt,2014,28587
Morsø,I alt,I alt,Alder i alt,I alt,2014,14287
Næstved,I alt,I alt,Alder i alt,I alt,2014,57391
Fredensborg,I alt,I alt,Alder i alt,I alt,2013,27456
Bornholm,I alt,I alt,Alder i alt,I alt,2014,27386
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2014,34570
Lejre,I alt,I alt,Alder i alt,I alt,2013,18593
Horsens,I alt,I alt,Alder i alt,I alt,2018,62626
Samsø,I alt,I alt,Alder i alt,I alt,2014,2467
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2014,28135
Herlev,I alt,I alt,Alder i alt,I alt,2013,18876
Egedal,I alt,I alt,Alder i alt,I alt,2018,28909
Hørsholm,I alt,I alt,Alder i alt,I alt,2013,15966
Odense,I alt,I alt,Alder i alt,I alt,2014,143742
Billund,I alt,I alt,Alder i alt,I alt,2018,17969
Esbjerg,I alt,I alt,Alder i alt,I alt,2018,80188
Slagelse,I alt,I alt,Alder i alt,I alt,2013,54443
København,I alt,I alt,Alder i alt,I alt,2013,444369
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2013,34446
Køge,I alt,I alt,Alder i alt,I alt,2018,41416
Holbæk,I alt,I alt,Alder i alt,I alt,2018,48911
Frederikssund,I alt,I alt,Alder i alt,I alt,2013,30502
Næstved,I alt,I alt,Alder i alt,I alt,2018,57316
Billund,I alt,I alt,Alder i alt,I alt,2014,18119
Faxe,I alt,I alt,Alder i alt,I alt,2013,24667
Odense,I alt,I alt,Alder i alt,I alt,2018,147319
Vejle,I alt,I alt,Alder i alt,I alt,2014,76537
Solrød,I alt,I alt,Alder i alt,I alt,2018,15174
Ringsted,I alt,I alt,Alder i alt,I alt,2018,24315
Langeland,I alt,I alt,Alder i alt,I alt,2014,8503
Esbjerg,I alt,I alt,Alder i alt,I alt,2014,81990
Sorø,I alt,I alt,Alder i alt,I alt,2018,20222
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2018,34254
Vejen,I alt,I alt,Alder i alt,I alt,2014,29010
Halsnæs,I alt,I alt,Alder i alt,I alt,2013,21414
Gribskov,I alt,I alt,Alder i alt,I alt,2013,28346
Langeland,I alt,I alt,Alder i alt,I alt,2018,8160
Randers,I alt,I alt,Alder i alt,I alt,2014,67895
Skanderborg,I alt,I alt,Alder i alt,I alt,2014,40196
Skive,I alt,I alt,Alder i alt,I alt,2014,32128
Ishøj,I alt,I alt,Alder i alt,I alt,2013,15551
Bornholm,I alt,I alt,Alder i alt,I alt,2018,26118
Lemvig,I alt,I alt,Alder i alt,I alt,2014,14180
Norddjurs,I alt,I alt,Alder i alt,I alt,2014,26609
Aabenraa,I alt,I alt,Alder i alt,I alt,2018,39864
Brøndby,I alt,I alt,Alder i alt,I alt,2013,24099
Hørsholm,I alt,I alt,Alder i alt,I alt,2018,15624
Middelfart,I alt,I alt,Alder i alt,I alt,2014,25961
Furesø,I alt,I alt,Alder i alt,I alt,2013,25485
Horsens,I alt,I alt,Alder i alt,I alt,2014,61005
Helsingør,I alt,I alt,Alder i alt,I alt,2013,42495
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2014,38870
Sønderborg,I alt,I alt,Alder i alt,I alt,2018,49656
Lejre,I alt,I alt,Alder i alt,I alt,2014,18585
Guldborgsund,I alt,I alt,Alder i alt,I alt,2014,41949
Gladsaxe,I alt,I alt,Alder i alt,I alt,2013,46404
Kerteminde,I alt,I alt,Alder i alt,I alt,2014,16154
Rudersdal,I alt,I alt,Alder i alt,I alt,2013,36014
Ishøj,I alt,I alt,Alder i alt,I alt,2018,16079
Albertslund,I alt,I alt,Alder i alt,I alt,2013,19808
Ærø,I alt,I alt,Alder i alt,I alt,2014,4133
Sønderborg,I alt,I alt,Alder i alt,I alt,2014,50807
Furesø,I alt,I alt,Alder i alt,I alt,2018,26387
Greve,I alt,I alt,Alder i alt,I alt,2013,33480
Dragør,I alt,I alt,Alder i alt,I alt,2018,9011
Kalundborg,I alt,I alt,Alder i alt,I alt,2013,33629
Stevns,I alt,I alt,Alder i alt,I alt,2013,15225
Albertslund,I alt,I alt,Alder i alt,I alt,2018,19178
Svendborg,I alt,I alt,Alder i alt,I alt,2014,40250
Aabenraa,I alt,I alt,Alder i alt,I alt,2014,40678
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2013,37175
Hillerød,I alt,I alt,Alder i alt,I alt,2018,34720
Roskilde,I alt,I alt,Alder i alt,I alt,2013,59152
Odsherred,I alt,I alt,Alder i alt,I alt,2013,22440
Herlev,I alt,I alt,Alder i alt,I alt,2018,19310
Frederiksberg,I alt,I alt,Alder i alt,I alt,2013,75858
Fanø,I alt,I alt,Alder i alt,I alt,2014,2213
Helsingør,I alt,I alt,Alder i alt,I alt,2018,41886
Herning,I alt,I alt,Alder i alt,I alt,2014,60650
Struer,I alt,I alt,Alder i alt,I alt,2014,14782
Favrskov,I alt,I alt,Alder i alt,I alt,2014,32280
Gentofte,I alt,I alt,Alder i alt,I alt,2018,50141
Aarhus,I alt,I alt,Alder i alt,I alt,2014,245295
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2018,37912
Christiansø,I alt,I alt,Alder i alt,I alt,2014,65
Silkeborg,I alt,I alt,Alder i alt,I alt,2014,62274
Hedensted,I alt,I alt,Alder i alt,I alt,2014,31431
Aarhus,I alt,I alt,Alder i alt,I alt,2013,243700
Tårnby,I alt,I alt,Alder i alt,I alt,2018,29255
Lolland,I alt,I alt,Alder i alt,I alt,2014,29546
Vordingborg,I alt,I alt,Alder i alt,I alt,2014,31278
Assens,I alt,I alt,Alder i alt,I alt,2014,28228
Rebild,I alt,I alt,Alder i alt,I alt,2013,19793
Aalborg,I alt,I alt,Alder i alt,I alt,2013,150456
Ballerup,I alt,I alt,Alder i alt,I alt,2018,32251
Nyborg,I alt,I alt,Alder i alt,I alt,2014,21566
Kolding,I alt,I alt,Alder i alt,I alt,2014,63505
Hedensted,I alt,I alt,Alder i alt,I alt,2013,31332
Thisted,I alt,I alt,Alder i alt,I alt,2013,30788
Frederikshavn,I alt,I alt,Alder i alt,I alt,2013,42153
Gladsaxe,I alt,I alt,Alder i alt,I alt,2018,48526
Hvidovre,I alt,I alt,Alder i alt,I alt,2018,36945
Haderslev,I alt,I alt,Alder i alt,I alt,2014,38765
Allerød,I alt,I alt,Alder i alt,I alt,2018,16609
København,I alt,I alt,Alder i alt,I alt,2018,484211
Sorø,I alt,I alt,Alder i alt,I alt,2014,20284
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2013,29372
Samsø,I alt,I alt,Alder i alt,I alt,2013,2512
Stevns,I alt,I alt,Alder i alt,I alt,2014,15238
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2013,28077
Viborg,I alt,I alt,Alder i alt,I alt,2013,65467
Viborg,I alt,I alt,Alder i alt,I alt,2014,65703
Hjørring,I alt,I alt,Alder i alt,I alt,2013,45368
Morsø,I alt,I alt,Alder i alt,I alt,2013,14386
Rødovre,I alt,I alt,Alder i alt,I alt,2018,27333
Hjørring,I alt,I alt,Alder i alt,I alt,2014,45244
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2014,25639
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2013,25845
Skanderborg,I alt,I alt,Alder i alt,I alt,2013,40001
Vallensbæk,I alt,I alt,Alder i alt,I alt,2018,10892
Jammerbugt,I alt,I alt,Alder i alt,I alt,2014,26334
Brøndby,I alt,I alt,Alder i alt,I alt,2018,24394
Brønderslev,I alt,I alt,Alder i alt,I alt,2014,24201
Læsø,I alt,I alt,Alder i alt,I alt,2014,1208
Jammerbugt,I alt,I alt,Alder i alt,I alt,2013,26437
Fredensborg,I alt,I alt,Alder i alt,I alt,2018,27150
Rebild,I alt,I alt,Alder i alt,I alt,2014,19689
Aalborg,I alt,I alt,Alder i alt,I alt,2014,151679
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2013,39031
Skive,I alt,I alt,Alder i alt,I alt,2013,32480
Læsø,I alt,I alt,Alder i alt,I alt,2013,1236
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2018,35180
Thisted,I alt,I alt,Alder i alt,I alt,2014,30530
Brønderslev,I alt,I alt,Alder i alt,I alt,2013,24161
Frederikshavn,I alt,I alt,Alder i alt,I alt,2014,41730
Glostrup,I alt,I alt,Alder i alt,I alt,2018,15555
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2014,29293
Frederiksberg,I alt,I alt,Alder i alt,I alt,2007,69086
Brøndby,I alt,I alt,Alder i alt,I alt,2007,23675
Frederiksberg,I alt,I alt,Alder i alt,I alt,2018,75608
Kolding,I alt,I alt,Alder i alt,I alt,2016,64152
Gentofte,I alt,I alt,Alder i alt,I alt,2007,46588
Vejle,I alt,I alt,Alder i alt,I alt,2016,77935
Horsens,I alt,I alt,Alder i alt,I alt,2016,62035
Gentofte,I alt,I alt,Alder i alt,I alt,2016,51503
Hvidovre,I alt,I alt,Alder i alt,I alt,2016,36933
København,I alt,I alt,Alder i alt,I alt,2007,394654
Ballerup,I alt,I alt,Alder i alt,I alt,2007,32771
Dragør,I alt,I alt,Alder i alt,I alt,2007,9036
Tårnby,I alt,I alt,Alder i alt,I alt,2016,29578
Helsingør,I alt,I alt,Alder i alt,I alt,2016,42417
Frederikssund,I alt,I alt,Alder i alt,I alt,2016,30394
Solrød,I alt,I alt,Alder i alt,I alt,2016,14943
Holbæk,I alt,I alt,Alder i alt,I alt,2016,48985
Herlev,I alt,I alt,Alder i alt,I alt,2016,19314
Brøndby,I alt,I alt,Alder i alt,I alt,2016,24515
Kolding,I alt,I alt,Alder i alt,I alt,2007,62055
Rødovre,I alt,I alt,Alder i alt,I alt,2016,26354
Allerød,I alt,I alt,Alder i alt,I alt,2016,16420
Rudersdal,I alt,I alt,Alder i alt,I alt,2016,36277
Frederiksberg,I alt,I alt,Alder i alt,I alt,2016,76698
Halsnæs,I alt,I alt,Alder i alt,I alt,2016,21300
Gladsaxe,I alt,I alt,Alder i alt,I alt,2016,47816
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2016,34974
Vejle,I alt,I alt,Alder i alt,I alt,2007,73081
Gribskov,I alt,I alt,Alder i alt,I alt,2016,27715
Vallensbæk,I alt,I alt,Alder i alt,I alt,2016,10416
Hillerød,I alt,I alt,Alder i alt,I alt,2016,34328
Greve,I alt,I alt,Alder i alt,I alt,2016,33658
Sorø,I alt,I alt,Alder i alt,I alt,2007,20259
Lolland,I alt,I alt,Alder i alt,I alt,2007,33567
Guldborgsund,I alt,I alt,Alder i alt,I alt,2007,44431
Bornholm,I alt,I alt,Alder i alt,I alt,2007,29814
Dragør,I alt,I alt,Alder i alt,I alt,2016,9147
Albertslund,I alt,I alt,Alder i alt,I alt,2016,19393
Christiansø,I alt,I alt,Alder i alt,I alt,2007,71
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2007,35610
Nyborg,I alt,I alt,Alder i alt,I alt,2007,21833
Fredensborg,I alt,I alt,Alder i alt,I alt,2016,27390
Ishøj,I alt,I alt,Alder i alt,I alt,2016,16076
Svendborg,I alt,I alt,Alder i alt,I alt,2007,41612
Langeland,I alt,I alt,Alder i alt,I alt,2007,9295
Egedal,I alt,I alt,Alder i alt,I alt,2016,28941
Haderslev,I alt,I alt,Alder i alt,I alt,2007,39230
Sønderborg,I alt,I alt,Alder i alt,I alt,2007,52966
Esbjerg,I alt,I alt,Alder i alt,I alt,2007,81594
Varde,I alt,I alt,Alder i alt,I alt,2007,34197
Roskilde,I alt,I alt,Alder i alt,I alt,2016,60369
Aabenraa,I alt,I alt,Alder i alt,I alt,2007,42097
Horsens,I alt,I alt,Alder i alt,I alt,2007,56937
København,I alt,I alt,Alder i alt,I alt,2016,468636
Ballerup,I alt,I alt,Alder i alt,I alt,2016,32312
Glostrup,I alt,I alt,Alder i alt,I alt,2016,15593
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2016,37754
Odsherred,I alt,I alt,Alder i alt,I alt,2016,22164
Furesø,I alt,I alt,Alder i alt,I alt,2016,26632
Hørsholm,I alt,I alt,Alder i alt,I alt,2016,15817
Køge,I alt,I alt,Alder i alt,I alt,2016,41460
Tønder,I alt,I alt,Alder i alt,I alt,2016,25804
Odense,I alt,I alt,Alder i alt,I alt,2016,145454
Langeland,I alt,I alt,Alder i alt,I alt,2016,8266
Dragør,I alt,I alt,Alder i alt,I alt,2010,9239
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2016,34430
Solrød,I alt,I alt,Alder i alt,I alt,2010,14786
Stevns,I alt,I alt,Alder i alt,I alt,2007,15424
Lejre,I alt,I alt,Alder i alt,I alt,2007,18567
Næstved,I alt,I alt,Alder i alt,I alt,2016,57540
Bornholm,I alt,I alt,Alder i alt,I alt,2016,26694
Glostrup,I alt,I alt,Alder i alt,I alt,2010,15052
Hvidovre,I alt,I alt,Alder i alt,I alt,2010,35149
Ringsted,I alt,I alt,Alder i alt,I alt,2016,24087
Sorø,I alt,I alt,Alder i alt,I alt,2016,20372
Næstved,I alt,I alt,Alder i alt,I alt,2007,57148
Vordingborg,I alt,I alt,Alder i alt,I alt,2007,32450
Middelfart,I alt,I alt,Alder i alt,I alt,2007,25658
Esbjerg,I alt,I alt,Alder i alt,I alt,2016,81291
Rødovre,I alt,I alt,Alder i alt,I alt,2010,25131
Assens,I alt,I alt,Alder i alt,I alt,2007,28811
Kerteminde,I alt,I alt,Alder i alt,I alt,2007,16251
Odense,I alt,I alt,Alder i alt,I alt,2007,135236
Faxe,I alt,I alt,Alder i alt,I alt,2010,24851
Ærø,I alt,I alt,Alder i alt,I alt,2016,3953
Fredericia,I alt,I alt,Alder i alt,I alt,2016,34925
Aabenraa,I alt,I alt,Alder i alt,I alt,2016,40264
Vallensbæk,I alt,I alt,Alder i alt,I alt,2010,10158
Fredensborg,I alt,I alt,Alder i alt,I alt,2010,27515
Nordfyns,I alt,I alt,Alder i alt,I alt,2007,20399
Ærø,I alt,I alt,Alder i alt,I alt,2007,4508
Billund,I alt,I alt,Alder i alt,I alt,2007,17976
Tønder,I alt,I alt,Alder i alt,I alt,2007,27831
Fanø,I alt,I alt,Alder i alt,I alt,2007,2262
Vejen,I alt,I alt,Alder i alt,I alt,2007,28852
Kerteminde,I alt,I alt,Alder i alt,I alt,2016,15912
Svendborg,I alt,I alt,Alder i alt,I alt,2016,40295
Gentofte,I alt,I alt,Alder i alt,I alt,2010,49151
Fredericia,I alt,I alt,Alder i alt,I alt,2007,34780
Vejen,I alt,I alt,Alder i alt,I alt,2016,28996
Hørsholm,I alt,I alt,Alder i alt,I alt,2010,16081
Middelfart,I alt,I alt,Alder i alt,I alt,2016,25823
Ballerup,I alt,I alt,Alder i alt,I alt,2010,32969
Slagelse,I alt,I alt,Alder i alt,I alt,2016,54806
Lejre,I alt,I alt,Alder i alt,I alt,2016,18534
Frederikssund,I alt,I alt,Alder i alt,I alt,2010,30896
Guldborgsund,I alt,I alt,Alder i alt,I alt,2016,41675
Halsnæs,I alt,I alt,Alder i alt,I alt,2010,21794
Gribskov,I alt,I alt,Alder i alt,I alt,2010,28629
Haderslev,I alt,I alt,Alder i alt,I alt,2016,38257
Sønderborg,I alt,I alt,Alder i alt,I alt,2016,50146
Faxe,I alt,I alt,Alder i alt,I alt,2016,24900
Fanø,I alt,I alt,Alder i alt,I alt,2016,2164
Glostrup,I alt,I alt,Alder i alt,I alt,2007,14479
Albertslund,I alt,I alt,Alder i alt,I alt,2007,20224
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2007,33917
Rødovre,I alt,I alt,Alder i alt,I alt,2007,24773
Tårnby,I alt,I alt,Alder i alt,I alt,2007,27769
Furesø,I alt,I alt,Alder i alt,I alt,2007,25341
Fredensborg,I alt,I alt,Alder i alt,I alt,2007,27404
Hillerød,I alt,I alt,Alder i alt,I alt,2007,31990
Christiansø,I alt,I alt,Alder i alt,I alt,2016,57
Nyborg,I alt,I alt,Alder i alt,I alt,2016,21714
Herlev,I alt,I alt,Alder i alt,I alt,2010,18388
