BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Rudersdal,I alt,I alt,Alder i alt,I alt,2007,35468
København,I alt,I alt,Alder i alt,I alt,2010,419851
Frederikssund,I alt,I alt,Alder i alt,I alt,2007,30815
Køge,I alt,I alt,Alder i alt,I alt,2007,39711
Roskilde,I alt,I alt,Alder i alt,I alt,2007,56954
Gribskov,I alt,I alt,Alder i alt,I alt,2007,28576
Nordfyns,I alt,I alt,Alder i alt,I alt,2016,20146
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2010,34003
Holbæk,I alt,I alt,Alder i alt,I alt,2007,48713
Varde,I alt,I alt,Alder i alt,I alt,2016,34346
Lolland,I alt,I alt,Alder i alt,I alt,2016,28577
Vordingborg,I alt,I alt,Alder i alt,I alt,2016,31223
Assens,I alt,I alt,Alder i alt,I alt,2016,28256
Billund,I alt,I alt,Alder i alt,I alt,2016,18102
Kalundborg,I alt,I alt,Alder i alt,I alt,2016,33266
Stevns,I alt,I alt,Alder i alt,I alt,2016,15291
Ishøj,I alt,I alt,Alder i alt,I alt,2010,15187
Furesø,I alt,I alt,Alder i alt,I alt,2010,25672
Helsingør,I alt,I alt,Alder i alt,I alt,2010,42462
Kalundborg,I alt,I alt,Alder i alt,I alt,2007,34744
Brønderslev,I alt,I alt,Alder i alt,I alt,2016,24251
Læsø,I alt,I alt,Alder i alt,I alt,2016,1166
Silkeborg,I alt,I alt,Alder i alt,I alt,2016,62554
Aarhus,I alt,I alt,Alder i alt,I alt,2016,250473
Rudersdal,I alt,I alt,Alder i alt,I alt,2010,36053
Slagelse,I alt,I alt,Alder i alt,I alt,2007,54568
Odsherred,I alt,I alt,Alder i alt,I alt,2010,22958
Holstebro,I alt,I alt,Alder i alt,I alt,2016,39754
Syddjurs,I alt,I alt,Alder i alt,I alt,2016,28415
Greve,I alt,I alt,Alder i alt,I alt,2010,34043
Rebild,I alt,I alt,Alder i alt,I alt,2016,19715
Aalborg,I alt,I alt,Alder i alt,I alt,2016,153843
Roskilde,I alt,I alt,Alder i alt,I alt,2010,58264
Odder,I alt,I alt,Alder i alt,I alt,2016,15079
Brøndby,I alt,I alt,Alder i alt,I alt,2010,23781
Gladsaxe,I alt,I alt,Alder i alt,I alt,2010,45205
Albertslund,I alt,I alt,Alder i alt,I alt,2010,20040
Thisted,I alt,I alt,Alder i alt,I alt,2016,29938
Hedensted,I alt,I alt,Alder i alt,I alt,2016,31601
Frederikshavn,I alt,I alt,Alder i alt,I alt,2016,41073
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2010,35942
Samsø,I alt,I alt,Alder i alt,I alt,2016,2428
Norddjurs,I alt,I alt,Alder i alt,I alt,2016,26553
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2016,29111
Lemvig,I alt,I alt,Alder i alt,I alt,2016,13780
Gladsaxe,I alt,I alt,Alder i alt,I alt,2007,43097
Randers,I alt,I alt,Alder i alt,I alt,2016,68137
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2016,28135
Tårnby,I alt,I alt,Alder i alt,I alt,2010,28398
Allerød,I alt,I alt,Alder i alt,I alt,2010,16268
Herlev,I alt,I alt,Alder i alt,I alt,2007,18345
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2007,34584
Ishøj,I alt,I alt,Alder i alt,I alt,2007,15284
Hillerød,I alt,I alt,Alder i alt,I alt,2010,32857
Holbæk,I alt,I alt,Alder i alt,I alt,2010,49134
Vallensbæk,I alt,I alt,Alder i alt,I alt,2007,8936
Allerød,I alt,I alt,Alder i alt,I alt,2007,16006
Helsingør,I alt,I alt,Alder i alt,I alt,2007,42206
Frederiksberg,I alt,I alt,Alder i alt,I alt,2010,73346
Morsø,I alt,I alt,Alder i alt,I alt,2016,13953
Viborg,I alt,I alt,Alder i alt,I alt,2016,66013
Hjørring,I alt,I alt,Alder i alt,I alt,2016,44680
Egedal,I alt,I alt,Alder i alt,I alt,2010,28921
Køge,I alt,I alt,Alder i alt,I alt,2010,40192
Hvidovre,I alt,I alt,Alder i alt,I alt,2007,34512
Skanderborg,I alt,I alt,Alder i alt,I alt,2016,40831
Hørsholm,I alt,I alt,Alder i alt,I alt,2007,15984
Egedal,I alt,I alt,Alder i alt,I alt,2007,28528
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2016,25319
Greve,I alt,I alt,Alder i alt,I alt,2007,34091
Halsnæs,I alt,I alt,Alder i alt,I alt,2007,21750
Solrød,I alt,I alt,Alder i alt,I alt,2007,14653
Odsherred,I alt,I alt,Alder i alt,I alt,2007,23256
Vordingborg,I alt,I alt,Alder i alt,I alt,2010,32136
Lolland,I alt,I alt,Alder i alt,I alt,2010,32213
Faxe,I alt,I alt,Alder i alt,I alt,2007,24915
Bornholm,I alt,I alt,Alder i alt,I alt,2010,29149
Herning,I alt,I alt,Alder i alt,I alt,2016,61441
Struer,I alt,I alt,Alder i alt,I alt,2016,14442
Næstved,I alt,I alt,Alder i alt,I alt,2010,57320
Favrskov,I alt,I alt,Alder i alt,I alt,2016,32415
Sorø,I alt,I alt,Alder i alt,I alt,2010,20542
Stevns,I alt,I alt,Alder i alt,I alt,2010,15348
Ringsted,I alt,I alt,Alder i alt,I alt,2007,22519
Jammerbugt,I alt,I alt,Alder i alt,I alt,2016,26117
Middelfart,I alt,I alt,Alder i alt,I alt,2010,25828
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2016,38438
Guldborgsund,I alt,I alt,Alder i alt,I alt,2010,43879
Lejre,I alt,I alt,Alder i alt,I alt,2010,18620
Skive,I alt,I alt,Alder i alt,I alt,2016,31804
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2010,35504
Gentofte,I alt,I alt,Alder i alt,I alt,2009,48359
Christiansø,I alt,I alt,Alder i alt,I alt,2010,66
Gladsaxe,I alt,I alt,Alder i alt,I alt,2009,44352
Assens,I alt,I alt,Alder i alt,I alt,2010,28716
Glostrup,I alt,I alt,Alder i alt,I alt,2009,14943
Slagelse,I alt,I alt,Alder i alt,I alt,2010,54834
Herlev,I alt,I alt,Alder i alt,I alt,2009,18369
Ringsted,I alt,I alt,Alder i alt,I alt,2010,23115
Ballerup,I alt,I alt,Alder i alt,I alt,2009,32954
Kalundborg,I alt,I alt,Alder i alt,I alt,2010,34350
Syddjurs,I alt,I alt,Alder i alt,I alt,2007,28546
Dragør,I alt,I alt,Alder i alt,I alt,2009,9172
Favrskov,I alt,I alt,Alder i alt,I alt,2007,31283
Randers,I alt,I alt,Alder i alt,I alt,2007,65836
Samsø,I alt,I alt,Alder i alt,I alt,2007,2731
Aarhus,I alt,I alt,Alder i alt,I alt,2007,221630
Brøndby,I alt,I alt,Alder i alt,I alt,2009,23661
Horsens,I alt,I alt,Alder i alt,I alt,2010,58592
Herning,I alt,I alt,Alder i alt,I alt,2007,59089
Rødovre,I alt,I alt,Alder i alt,I alt,2009,24884
Vallensbæk,I alt,I alt,Alder i alt,I alt,2009,9878
Fredensborg,I alt,I alt,Alder i alt,I alt,2009,27422
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2010,39826
Lemvig,I alt,I alt,Alder i alt,I alt,2007,15123
Aalborg,I alt,I alt,Alder i alt,I alt,2010,144662
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2007,39825
Morsø,I alt,I alt,Alder i alt,I alt,2007,15136
Thisted,I alt,I alt,Alder i alt,I alt,2007,31555
Brønderslev,I alt,I alt,Alder i alt,I alt,2007,24280
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2007,26256
Rebild,I alt,I alt,Alder i alt,I alt,2007,19695
Jammerbugt,I alt,I alt,Alder i alt,I alt,2007,26988
Hjørring,I alt,I alt,Alder i alt,I alt,2007,46450
Rebild,I alt,I alt,Alder i alt,I alt,2010,19808
Hørsholm,I alt,I alt,Alder i alt,I alt,2009,16051
Frederikssund,I alt,I alt,Alder i alt,I alt,2009,30850
Halsnæs,I alt,I alt,Alder i alt,I alt,2009,21867
Gribskov,I alt,I alt,Alder i alt,I alt,2009,28703
Herning,I alt,I alt,Alder i alt,I alt,2010,60277
Holbæk,I alt,I alt,Alder i alt,I alt,2009,49021
Struer,I alt,I alt,Alder i alt,I alt,2010,15416
Favrskov,I alt,I alt,Alder i alt,I alt,2010,32119
Silkeborg,I alt,I alt,Alder i alt,I alt,2010,61821
Aarhus,I alt,I alt,Alder i alt,I alt,2010,232787
Guldborgsund,I alt,I alt,Alder i alt,I alt,2009,44027
Sønderborg,I alt,I alt,Alder i alt,I alt,2010,52190
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2009,35756
Stevns,I alt,I alt,Alder i alt,I alt,2009,15389
Thisted,I alt,I alt,Alder i alt,I alt,2010,31380
Frederikshavn,I alt,I alt,Alder i alt,I alt,2010,43229
Bornholm,I alt,I alt,Alder i alt,I alt,2009,29371
Aabenraa,I alt,I alt,Alder i alt,I alt,2010,41689
Nyborg,I alt,I alt,Alder i alt,I alt,2009,21864
Nordfyns,I alt,I alt,Alder i alt,I alt,2009,20505
Ærø,I alt,I alt,Alder i alt,I alt,2009,4519
Sønderborg,I alt,I alt,Alder i alt,I alt,2009,52540
Kalundborg,I alt,I alt,Alder i alt,I alt,2009,34508
Hedensted,I alt,I alt,Alder i alt,I alt,2010,31420
Lejre,I alt,I alt,Alder i alt,I alt,2009,18606
Fanø,I alt,I alt,Alder i alt,I alt,2010,2269
Christiansø,I alt,I alt,Alder i alt,I alt,2009,73
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2010,29711
Kolding,I alt,I alt,Alder i alt,I alt,2010,62750
Hjørring,I alt,I alt,Alder i alt,I alt,2010,46261
Slagelse,I alt,I alt,Alder i alt,I alt,2009,54722
Næstved,I alt,I alt,Alder i alt,I alt,2009,57379
Syddjurs,I alt,I alt,Alder i alt,I alt,2010,28790
Odder,I alt,I alt,Alder i alt,I alt,2010,15050
Assens,I alt,I alt,Alder i alt,I alt,2009,28876
Svendborg,I alt,I alt,Alder i alt,I alt,2009,41683
Norddjurs,I alt,I alt,Alder i alt,I alt,2007,26911
Haderslev,I alt,I alt,Alder i alt,I alt,2009,39238
Haderslev,I alt,I alt,Alder i alt,I alt,2010,39205
Varde,I alt,I alt,Alder i alt,I alt,2010,34529
Odder,I alt,I alt,Alder i alt,I alt,2007,14831
Silkeborg,I alt,I alt,Alder i alt,I alt,2007,60821
Skanderborg,I alt,I alt,Alder i alt,I alt,2007,38812
Holstebro,I alt,I alt,Alder i alt,I alt,2010,39988
Samsø,I alt,I alt,Alder i alt,I alt,2010,2618
Vordingborg,I alt,I alt,Alder i alt,I alt,2009,32192
Viborg,I alt,I alt,Alder i alt,I alt,2010,65193
Tønder,I alt,I alt,Alder i alt,I alt,2010,27473
Holstebro,I alt,I alt,Alder i alt,I alt,2007,40006
Struer,I alt,I alt,Alder i alt,I alt,2007,15753
Faxe,I alt,I alt,Alder i alt,I alt,2009,24898
Sorø,I alt,I alt,Alder i alt,I alt,2009,20530
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2007,27703
Hedensted,I alt,I alt,Alder i alt,I alt,2007,31018
Skive,I alt,I alt,Alder i alt,I alt,2007,33469
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2010,28198
Morsø,I alt,I alt,Alder i alt,I alt,2010,14914
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2010,26085
Viborg,I alt,I alt,Alder i alt,I alt,2007,64193
Frederikshavn,I alt,I alt,Alder i alt,I alt,2007,44112
Læsø,I alt,I alt,Alder i alt,I alt,2007,1344
Kerteminde,I alt,I alt,Alder i alt,I alt,2009,16328
Langeland,I alt,I alt,Alder i alt,I alt,2009,9169
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2007,29567
Aalborg,I alt,I alt,Alder i alt,I alt,2007,141624
Billund,I alt,I alt,Alder i alt,I alt,2009,18131
Ringsted,I alt,I alt,Alder i alt,I alt,2009,22949
Fredericia,I alt,I alt,Alder i alt,I alt,2010,35226
Lolland,I alt,I alt,Alder i alt,I alt,2009,32804
Middelfart,I alt,I alt,Alder i alt,I alt,2009,25968
Jammerbugt,I alt,I alt,Alder i alt,I alt,2010,26960
Odense,I alt,I alt,Alder i alt,I alt,2009,136726
Albertslund,I alt,I alt,Alder i alt,I alt,2009,20273
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2009,35381
Vejle,I alt,I alt,Alder i alt,I alt,2010,74562
Norddjurs,I alt,I alt,Alder i alt,I alt,2010,26725
Randers,I alt,I alt,Alder i alt,I alt,2010,67119
Skanderborg,I alt,I alt,Alder i alt,I alt,2010,39802
Tårnby,I alt,I alt,Alder i alt,I alt,2009,28146
Allerød,I alt,I alt,Alder i alt,I alt,2009,16311
Hillerød,I alt,I alt,Alder i alt,I alt,2009,32500
Vejen,I alt,I alt,Alder i alt,I alt,2010,29043
Læsø,I alt,I alt,Alder i alt,I alt,2010,1331
Billund,I alt,I alt,Alder i alt,I alt,2010,18074
Esbjerg,I alt,I alt,Alder i alt,I alt,2010,82627
Egedal,I alt,I alt,Alder i alt,I alt,2009,28937
Lemvig,I alt,I alt,Alder i alt,I alt,2010,14867
Køge,I alt,I alt,Alder i alt,I alt,2009,39954
Solrød,I alt,I alt,Alder i alt,I alt,2009,14715
Skive,I alt,I alt,Alder i alt,I alt,2010,33289
Brønderslev,I alt,I alt,Alder i alt,I alt,2010,24418
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2009,34149
Langeland,I alt,I alt,Alder i alt,I alt,2010,9077
Furesø,I alt,I alt,Alder i alt,I alt,2009,25648
Helsingør,I alt,I alt,Alder i alt,I alt,2009,42395
Kerteminde,I alt,I alt,Alder i alt,I alt,2010,16301
Ærø,I alt,I alt,Alder i alt,I alt,2010,4499
Svendborg,I alt,I alt,Alder i alt,I alt,2010,41384
Ishøj,I alt,I alt,Alder i alt,I alt,2009,15188
Nyborg,I alt,I alt,Alder i alt,I alt,2010,21810
Rudersdal,I alt,I alt,Alder i alt,I alt,2009,35740
Nordfyns,I alt,I alt,Alder i alt,I alt,2010,20511
Roskilde,I alt,I alt,Alder i alt,I alt,2009,57803
Odsherred,I alt,I alt,Alder i alt,I alt,2009,23090
Odense,I alt,I alt,Alder i alt,I alt,2010,137951
Greve,I alt,I alt,Alder i alt,I alt,2009,34067
Hvidovre,I alt,I alt,Alder i alt,I alt,2009,34717
Vejle,I alt,I alt,Alder i alt,I alt,2009,74075
Aarhus,I alt,I alt,Alder i alt,I alt,2012,239638
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2021,37421
Norddjurs,I alt,I alt,Alder i alt,I alt,2009,26748
Randers,I alt,I alt,Alder i alt,I alt,2009,66629
Hjørring,I alt,I alt,Alder i alt,I alt,2012,45737
Skive,I alt,I alt,Alder i alt,I alt,2021,30182
Hedensted,I alt,I alt,Alder i alt,I alt,2012,31487
Jammerbugt,I alt,I alt,Alder i alt,I alt,2021,24970
Silkeborg,I alt,I alt,Alder i alt,I alt,2012,62134
Aarhus,I alt,I alt,Alder i alt,I alt,2021,263741
Brønderslev,I alt,I alt,Alder i alt,I alt,2021,23868
Skive,I alt,I alt,Alder i alt,I alt,2009,33367
Læsø,I alt,I alt,Alder i alt,I alt,2009,1341
Læsø,I alt,I alt,Alder i alt,I alt,2021,1065
Lemvig,I alt,I alt,Alder i alt,I alt,2009,15001
Viborg,I alt,I alt,Alder i alt,I alt,2012,65478
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2012,25945
Jammerbugt,I alt,I alt,Alder i alt,I alt,2012,26830
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2009,40173
Brønderslev,I alt,I alt,Alder i alt,I alt,2009,24427
København,I alt,I alt,Alder i alt,I alt,2011,428002
Rebild,I alt,I alt,Alder i alt,I alt,2011,19862
Aalborg,I alt,I alt,Alder i alt,I alt,2009,143297
Vejen,I alt,I alt,Alder i alt,I alt,2009,29068
Hedensted,I alt,I alt,Alder i alt,I alt,2021,31866
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2011,29795
Thisted,I alt,I alt,Alder i alt,I alt,2021,28630
Rebild,I alt,I alt,Alder i alt,I alt,2021,20166
Morsø,I alt,I alt,Alder i alt,I alt,2012,14547
Hjørring,I alt,I alt,Alder i alt,I alt,2011,46130
Rebild,I alt,I alt,Alder i alt,I alt,2009,19742
Esbjerg,I alt,I alt,Alder i alt,I alt,2009,82348
Horsens,I alt,I alt,Alder i alt,I alt,2009,57760
Aalborg,I alt,I alt,Alder i alt,I alt,2021,158831
Samsø,I alt,I alt,Alder i alt,I alt,2021,2324
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2012,28105
Læsø,I alt,I alt,Alder i alt,I alt,2012,1250
Jammerbugt,I alt,I alt,Alder i alt,I alt,2011,26848
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2011,25925
Frederikshavn,I alt,I alt,Alder i alt,I alt,2021,38653
Samsø,I alt,I alt,Alder i alt,I alt,2012,2539
Aalborg,I alt,I alt,Alder i alt,I alt,2012,148482
Læsø,I alt,I alt,Alder i alt,I alt,2011,1306
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2021,28245
Aarhus,I alt,I alt,Alder i alt,I alt,2009,229500
Brønderslev,I alt,I alt,Alder i alt,I alt,2012,24190
Rebild,I alt,I alt,Alder i alt,I alt,2012,19781
Aalborg,I alt,I alt,Alder i alt,I alt,2011,146765
Skive,I alt,I alt,Alder i alt,I alt,2012,32736
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2011,36247
Skanderborg,I alt,I alt,Alder i alt,I alt,2012,39967
Helsingør,I alt,I alt,Alder i alt,I alt,2011,42476
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2021,27999
Skanderborg,I alt,I alt,Alder i alt,I alt,2021,42036
Morsø,I alt,I alt,Alder i alt,I alt,2021,13103
Struer,I alt,I alt,Alder i alt,I alt,2009,15619
Favrskov,I alt,I alt,Alder i alt,I alt,2009,31869
Silkeborg,I alt,I alt,Alder i alt,I alt,2009,61491
Frederikssund,I alt,I alt,Alder i alt,I alt,2011,30731
Solrød,I alt,I alt,Alder i alt,I alt,2011,14847
Holbæk,I alt,I alt,Alder i alt,I alt,2011,48996
Viborg,I alt,I alt,Alder i alt,I alt,2021,65372
Thisted,I alt,I alt,Alder i alt,I alt,2009,31505
Frederikshavn,I alt,I alt,Alder i alt,I alt,2009,43563
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2012,39389
Ringsted,I alt,I alt,Alder i alt,I alt,2011,23368
Ballerup,I alt,I alt,Alder i alt,I alt,2011,33027
Herning,I alt,I alt,Alder i alt,I alt,2009,59984
Randers,I alt,I alt,Alder i alt,I alt,2012,67615
Glostrup,I alt,I alt,Alder i alt,I alt,2011,15168
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2021,24005
Hjørring,I alt,I alt,Alder i alt,I alt,2021,42627
Sorø,I alt,I alt,Alder i alt,I alt,2011,20495
Næstved,I alt,I alt,Alder i alt,I alt,2011,57190
Aabenraa,I alt,I alt,Alder i alt,I alt,2009,41926
Frederikshavn,I alt,I alt,Alder i alt,I alt,2012,42552
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2012,29613
Esbjerg,I alt,I alt,Alder i alt,I alt,2021,78912
Horsens,I alt,I alt,Alder i alt,I alt,2021,64746
Hedensted,I alt,I alt,Alder i alt,I alt,2009,31398
Thisted,I alt,I alt,Alder i alt,I alt,2012,30960
Tårnby,I alt,I alt,Alder i alt,I alt,2011,28716
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2009,29702
Halsnæs,I alt,I alt,Alder i alt,I alt,2011,21768
Frederiksberg,I alt,I alt,Alder i alt,I alt,2012,75686
Gentofte,I alt,I alt,Alder i alt,I alt,2011,49851
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2021,33882
Gladsaxe,I alt,I alt,Alder i alt,I alt,2012,46105
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2012,34281
Hvidovre,I alt,I alt,Alder i alt,I alt,2011,35460
Langeland,I alt,I alt,Alder i alt,I alt,2021,7799
Hjørring,I alt,I alt,Alder i alt,I alt,2009,46392
Fanø,I alt,I alt,Alder i alt,I alt,2009,2276
Hillerød,I alt,I alt,Alder i alt,I alt,2012,33315
Egedal,I alt,I alt,Alder i alt,I alt,2012,29040
Rudersdal,I alt,I alt,Alder i alt,I alt,2011,35980
Favrskov,I alt,I alt,Alder i alt,I alt,2021,32304
Kolding,I alt,I alt,Alder i alt,I alt,2009,62769
Vallensbæk,I alt,I alt,Alder i alt,I alt,2012,10204
Allerød,I alt,I alt,Alder i alt,I alt,2011,16191
Syddjurs,I alt,I alt,Alder i alt,I alt,2009,28619
Odder,I alt,I alt,Alder i alt,I alt,2009,14928
Herning,I alt,I alt,Alder i alt,I alt,2021,60732
Struer,I alt,I alt,Alder i alt,I alt,2021,13655
Silkeborg,I alt,I alt,Alder i alt,I alt,2021,65214
Samsø,I alt,I alt,Alder i alt,I alt,2009,2693
Køge,I alt,I alt,Alder i alt,I alt,2012,40541
Gribskov,I alt,I alt,Alder i alt,I alt,2011,28450
Viborg,I alt,I alt,Alder i alt,I alt,2009,64937
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2009,26257
Albertslund,I alt,I alt,Alder i alt,I alt,2012,19959
Ishøj,I alt,I alt,Alder i alt,I alt,2012,15311
Fredensborg,I alt,I alt,Alder i alt,I alt,2012,27533
Hørsholm,I alt,I alt,Alder i alt,I alt,2012,15992
Herlev,I alt,I alt,Alder i alt,I alt,2011,18376
Rødovre,I alt,I alt,Alder i alt,I alt,2011,25440
Holstebro,I alt,I alt,Alder i alt,I alt,2009,39945
Greve,I alt,I alt,Alder i alt,I alt,2011,33888
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2009,27995
Morsø,I alt,I alt,Alder i alt,I alt,2009,15029
Dragør,I alt,I alt,Alder i alt,I alt,2012,9239
Faxe,I alt,I alt,Alder i alt,I alt,2011,24834
Slagelse,I alt,I alt,Alder i alt,I alt,2011,54832
Aabenraa,I alt,I alt,Alder i alt,I alt,2021,39052
Jammerbugt,I alt,I alt,Alder i alt,I alt,2009,27067
Varde,I alt,I alt,Alder i alt,I alt,2009,34518
Fredericia,I alt,I alt,Alder i alt,I alt,2009,35004
Brøndby,I alt,I alt,Alder i alt,I alt,2011,23874
Faxe,I alt,I alt,Alder i alt,I alt,2021,25290
Slagelse,I alt,I alt,Alder i alt,I alt,2021,54623
Hillerød,I alt,I alt,Alder i alt,I alt,2011,33263
Lejre,I alt,I alt,Alder i alt,I alt,2021,18725
Guldborgsund,I alt,I alt,Alder i alt,I alt,2021,39788
Sønderborg,I alt,I alt,Alder i alt,I alt,2021,48615
Tønder,I alt,I alt,Alder i alt,I alt,2009,27561
Lejre,I alt,I alt,Alder i alt,I alt,2011,18675
Guldborgsund,I alt,I alt,Alder i alt,I alt,2011,43317
Skanderborg,I alt,I alt,Alder i alt,I alt,2009,39564
Solrød,I alt,I alt,Alder i alt,I alt,2012,14786
Vallensbæk,I alt,I alt,Alder i alt,I alt,2011,10229
Middelfart,I alt,I alt,Alder i alt,I alt,2021,26323
Kerteminde,I alt,I alt,Alder i alt,I alt,2021,15630
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2012,36745
Roskilde,I alt,I alt,Alder i alt,I alt,2011,58690
Ærø,I alt,I alt,Alder i alt,I alt,2021,3718
Fanø,I alt,I alt,Alder i alt,I alt,2021,2057
Furesø,I alt,I alt,Alder i alt,I alt,2012,25488
Frederikssund,I alt,I alt,Alder i alt,I alt,2012,30681
Frederiksberg,I alt,I alt,Alder i alt,I alt,2011,74486
Kolding,I alt,I alt,Alder i alt,I alt,2021,63927
Syddjurs,I alt,I alt,Alder i alt,I alt,2021,28408
København,I alt,I alt,Alder i alt,I alt,2012,435601
Ballerup,I alt,I alt,Alder i alt,I alt,2012,32977
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2011,34263
Glostrup,I alt,I alt,Alder i alt,I alt,2012,15355
Svendborg,I alt,I alt,Alder i alt,I alt,2021,39455
Frederiksberg,I alt,I alt,Alder i alt,I alt,2009,71635
Gladsaxe,I alt,I alt,Alder i alt,I alt,2011,45525
Odder,I alt,I alt,Alder i alt,I alt,2021,15149
Fredensborg,I alt,I alt,Alder i alt,I alt,2011,27642
Egedal,I alt,I alt,Alder i alt,I alt,2011,28981
Halsnæs,I alt,I alt,Alder i alt,I alt,2012,21553
Gentofte,I alt,I alt,Alder i alt,I alt,2012,50158
København,I alt,I alt,Alder i alt,I alt,2009,410281
Hvidovre,I alt,I alt,Alder i alt,I alt,2012,36074
Holstebro,I alt,I alt,Alder i alt,I alt,2021,39331
Helsingør,I alt,I alt,Alder i alt,I alt,2012,42590
Rudersdal,I alt,I alt,Alder i alt,I alt,2012,35974
Odsherred,I alt,I alt,Alder i alt,I alt,2011,22754
Kalundborg,I alt,I alt,Alder i alt,I alt,2011,34098
Tårnby,I alt,I alt,Alder i alt,I alt,2012,28825
Albertslund,I alt,I alt,Alder i alt,I alt,2011,19985
Ishøj,I alt,I alt,Alder i alt,I alt,2011,15389
Haderslev,I alt,I alt,Alder i alt,I alt,2021,37254
Varde,I alt,I alt,Alder i alt,I alt,2021,33037
Herlev,I alt,I alt,Alder i alt,I alt,2019,19618
Køge,I alt,I alt,Alder i alt,I alt,2011,40162
Odsherred,I alt,I alt,Alder i alt,I alt,2021,21209
Vallensbæk,I alt,I alt,Alder i alt,I alt,2019,10867
Stevns,I alt,I alt,Alder i alt,I alt,2011,15322
Lolland,I alt,I alt,Alder i alt,I alt,2011,31617
Kalundborg,I alt,I alt,Alder i alt,I alt,2021,32422
Lolland,I alt,I alt,Alder i alt,I alt,2021,26204
Dragør,I alt,I alt,Alder i alt,I alt,2011,9225
Christiansø,I alt,I alt,Alder i alt,I alt,2021,59
Hørsholm,I alt,I alt,Alder i alt,I alt,2011,15976
