BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Fredericia,I alt,I alt,Alder i alt,I alt,2021,35083
Fredensborg,I alt,I alt,Alder i alt,I alt,2019,26861
Stevns,I alt,I alt,Alder i alt,I alt,2021,15474
Vordingborg,I alt,I alt,Alder i alt,I alt,2021,29968
Greve,I alt,I alt,Alder i alt,I alt,2012,33776
Furesø,I alt,I alt,Alder i alt,I alt,2011,25612
Nyborg,I alt,I alt,Alder i alt,I alt,2021,21281
Tønder,I alt,I alt,Alder i alt,I alt,2021,24457
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2019,35213
Brøndby,I alt,I alt,Alder i alt,I alt,2012,23993
Herlev,I alt,I alt,Alder i alt,I alt,2012,18506
Rødovre,I alt,I alt,Alder i alt,I alt,2012,25827
Brøndby,I alt,I alt,Alder i alt,I alt,2019,24052
Allerød,I alt,I alt,Alder i alt,I alt,2012,16235
Assens,I alt,I alt,Alder i alt,I alt,2021,27248
Hørsholm,I alt,I alt,Alder i alt,I alt,2019,15345
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2011,28212
Morsø,I alt,I alt,Alder i alt,I alt,2011,14720
Viborg,I alt,I alt,Alder i alt,I alt,2011,65290
Vejle,I alt,I alt,Alder i alt,I alt,2021,80703
Norddjurs,I alt,I alt,Alder i alt,I alt,2021,25068
Randers,I alt,I alt,Alder i alt,I alt,2021,67537
Gladsaxe,I alt,I alt,Alder i alt,I alt,2019,48074
Ishøj,I alt,I alt,Alder i alt,I alt,2019,15959
Roskilde,I alt,I alt,Alder i alt,I alt,2012,58931
Tønder,I alt,I alt,Alder i alt,I alt,2011,27164
Fredericia,I alt,I alt,Alder i alt,I alt,2011,35266
Frederikssund,I alt,I alt,Alder i alt,I alt,2019,30209
Nordfyns,I alt,I alt,Alder i alt,I alt,2021,19859
Frederiksberg,I alt,I alt,Alder i alt,I alt,2019,75686
Sønderborg,I alt,I alt,Alder i alt,I alt,2012,51825
Herning,I alt,I alt,Alder i alt,I alt,2012,60798
Lemvig,I alt,I alt,Alder i alt,I alt,2021,12784
Struer,I alt,I alt,Alder i alt,I alt,2012,15124
Favrskov,I alt,I alt,Alder i alt,I alt,2012,32299
Nordfyns,I alt,I alt,Alder i alt,I alt,2011,20437
Furesø,I alt,I alt,Alder i alt,I alt,2019,26352
Middelfart,I alt,I alt,Alder i alt,I alt,2012,25906
Aabenraa,I alt,I alt,Alder i alt,I alt,2012,41238
Albertslund,I alt,I alt,Alder i alt,I alt,2019,18997
Odsherred,I alt,I alt,Alder i alt,I alt,2012,22580
Vejle,I alt,I alt,Alder i alt,I alt,2011,75172
Holbæk,I alt,I alt,Alder i alt,I alt,2021,49521
Ringsted,I alt,I alt,Alder i alt,I alt,2021,24544
Kerteminde,I alt,I alt,Alder i alt,I alt,2012,16321
Ærø,I alt,I alt,Alder i alt,I alt,2012,4379
Skanderborg,I alt,I alt,Alder i alt,I alt,2011,40081
Billund,I alt,I alt,Alder i alt,I alt,2021,17796
Vejen,I alt,I alt,Alder i alt,I alt,2021,28542
Helsingør,I alt,I alt,Alder i alt,I alt,2019,41759
Kalundborg,I alt,I alt,Alder i alt,I alt,2012,33796
Norddjurs,I alt,I alt,Alder i alt,I alt,2011,26653
Randers,I alt,I alt,Alder i alt,I alt,2011,67403
Sorø,I alt,I alt,Alder i alt,I alt,2021,20286
Næstved,I alt,I alt,Alder i alt,I alt,2021,57199
Svendborg,I alt,I alt,Alder i alt,I alt,2012,40843
Fanø,I alt,I alt,Alder i alt,I alt,2012,2268
Bornholm,I alt,I alt,Alder i alt,I alt,2011,28823
Bornholm,I alt,I alt,Alder i alt,I alt,2021,25598
Odense,I alt,I alt,Alder i alt,I alt,2021,148009
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2019,38463
Kolding,I alt,I alt,Alder i alt,I alt,2012,62964
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2011,35486
Odense,I alt,I alt,Alder i alt,I alt,2011,139092
Billund,I alt,I alt,Alder i alt,I alt,2011,18125
Hørsholm,I alt,I alt,Alder i alt,I alt,2021,15042
Rudersdal,I alt,I alt,Alder i alt,I alt,2019,36329
Stevns,I alt,I alt,Alder i alt,I alt,2012,15214
Lolland,I alt,I alt,Alder i alt,I alt,2012,30870
Vejen,I alt,I alt,Alder i alt,I alt,2011,29090
Lemvig,I alt,I alt,Alder i alt,I alt,2011,14735
Dragør,I alt,I alt,Alder i alt,I alt,2019,9114
Skive,I alt,I alt,Alder i alt,I alt,2011,33003
Esbjerg,I alt,I alt,Alder i alt,I alt,2011,82583
Frederikssund,I alt,I alt,Alder i alt,I alt,2021,30422
Christiansø,I alt,I alt,Alder i alt,I alt,2012,69
Horsens,I alt,I alt,Alder i alt,I alt,2011,59063
Tårnby,I alt,I alt,Alder i alt,I alt,2019,29124
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2011,39570
Brønderslev,I alt,I alt,Alder i alt,I alt,2011,24328
Brøndby,I alt,I alt,Alder i alt,I alt,2021,24328
Syddjurs,I alt,I alt,Alder i alt,I alt,2012,28955
Langeland,I alt,I alt,Alder i alt,I alt,2011,8951
Tårnby,I alt,I alt,Alder i alt,I alt,2021,28727
Helsingør,I alt,I alt,Alder i alt,I alt,2021,41605
Glostrup,I alt,I alt,Alder i alt,I alt,2019,16001
Vordingborg,I alt,I alt,Alder i alt,I alt,2012,31489
Allerød,I alt,I alt,Alder i alt,I alt,2019,16613
Haderslev,I alt,I alt,Alder i alt,I alt,2012,39102
Varde,I alt,I alt,Alder i alt,I alt,2012,34288
Ballerup,I alt,I alt,Alder i alt,I alt,2019,32207
Holstebro,I alt,I alt,Alder i alt,I alt,2012,39911
Herlev,I alt,I alt,Alder i alt,I alt,2021,19587
Hvidovre,I alt,I alt,Alder i alt,I alt,2019,36855
Odder,I alt,I alt,Alder i alt,I alt,2012,15014
Holbæk,I alt,I alt,Alder i alt,I alt,2012,48848
Halsnæs,I alt,I alt,Alder i alt,I alt,2021,20759
Assens,I alt,I alt,Alder i alt,I alt,2012,28460
Nyborg,I alt,I alt,Alder i alt,I alt,2012,21625
Frederiksberg,I alt,I alt,Alder i alt,I alt,2021,74788
Tønder,I alt,I alt,Alder i alt,I alt,2012,26940
Fredericia,I alt,I alt,Alder i alt,I alt,2012,35243
Hillerød,I alt,I alt,Alder i alt,I alt,2019,34974
Ringsted,I alt,I alt,Alder i alt,I alt,2012,23471
Herning,I alt,I alt,Alder i alt,I alt,2011,60701
Struer,I alt,I alt,Alder i alt,I alt,2011,15300
Gribskov,I alt,I alt,Alder i alt,I alt,2021,26871
København,I alt,I alt,Alder i alt,I alt,2019,492180
Gentofte,I alt,I alt,Alder i alt,I alt,2019,49830
Favrskov,I alt,I alt,Alder i alt,I alt,2011,32323
Aarhus,I alt,I alt,Alder i alt,I alt,2011,235788
Rødovre,I alt,I alt,Alder i alt,I alt,2019,27866
Middelfart,I alt,I alt,Alder i alt,I alt,2011,25775
Rødovre,I alt,I alt,Alder i alt,I alt,2021,28185
Egedal,I alt,I alt,Alder i alt,I alt,2019,28875
Sorø,I alt,I alt,Alder i alt,I alt,2012,20428
Sønderborg,I alt,I alt,Alder i alt,I alt,2011,52244
Aabenraa,I alt,I alt,Alder i alt,I alt,2011,41590
Allerød,I alt,I alt,Alder i alt,I alt,2021,16538
Rudersdal,I alt,I alt,Alder i alt,I alt,2021,36428
Nordfyns,I alt,I alt,Alder i alt,I alt,2012,20222
Silkeborg,I alt,I alt,Alder i alt,I alt,2011,62188
Thisted,I alt,I alt,Alder i alt,I alt,2011,31299
Kerteminde,I alt,I alt,Alder i alt,I alt,2011,16296
Gladsaxe,I alt,I alt,Alder i alt,I alt,2021,47649
Næstved,I alt,I alt,Alder i alt,I alt,2012,57326
Hedensted,I alt,I alt,Alder i alt,I alt,2011,31534
Vejle,I alt,I alt,Alder i alt,I alt,2012,75685
Svendborg,I alt,I alt,Alder i alt,I alt,2011,41127
Ærø,I alt,I alt,Alder i alt,I alt,2011,4480
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2021,36379
Fanø,I alt,I alt,Alder i alt,I alt,2011,2275
Greve,I alt,I alt,Alder i alt,I alt,2021,33242
Bornholm,I alt,I alt,Alder i alt,I alt,2012,28412
Viborg,I alt,I alt,Alder i alt,I alt,2019,65818
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2019,24582
Vejen,I alt,I alt,Alder i alt,I alt,2012,29106
Odder,I alt,I alt,Alder i alt,I alt,2019,15181
Norddjurs,I alt,I alt,Alder i alt,I alt,2012,26892
Vallensbæk,I alt,I alt,Alder i alt,I alt,2021,10643
Jammerbugt,I alt,I alt,Alder i alt,I alt,2019,25497
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2012,35198
Odense,I alt,I alt,Alder i alt,I alt,2012,140538
Kolding,I alt,I alt,Alder i alt,I alt,2011,62963
Roskilde,I alt,I alt,Alder i alt,I alt,2021,61028
Samsø,I alt,I alt,Alder i alt,I alt,2019,2300
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2019,28105
Billund,I alt,I alt,Alder i alt,I alt,2012,18213
Esbjerg,I alt,I alt,Alder i alt,I alt,2012,82368
Dragør,I alt,I alt,Alder i alt,I alt,2021,9074
Morsø,I alt,I alt,Alder i alt,I alt,2019,13353
Lemvig,I alt,I alt,Alder i alt,I alt,2012,14616
Gribskov,I alt,I alt,Alder i alt,I alt,2012,28375
Faxe,I alt,I alt,Alder i alt,I alt,2012,24766
Hillerød,I alt,I alt,Alder i alt,I alt,2021,36044
Syddjurs,I alt,I alt,Alder i alt,I alt,2011,28973
Horsens,I alt,I alt,Alder i alt,I alt,2012,59735
Vordingborg,I alt,I alt,Alder i alt,I alt,2011,31872
Christiansø,I alt,I alt,Alder i alt,I alt,2011,72
Albertslund,I alt,I alt,Alder i alt,I alt,2021,18664
Slagelse,I alt,I alt,Alder i alt,I alt,2012,54736
Haderslev,I alt,I alt,Alder i alt,I alt,2011,39055
Læsø,I alt,I alt,Alder i alt,I alt,2019,1094
Odder,I alt,I alt,Alder i alt,I alt,2011,15041
Skanderborg,I alt,I alt,Alder i alt,I alt,2019,41547
Langeland,I alt,I alt,Alder i alt,I alt,2012,8824
København,I alt,I alt,Alder i alt,I alt,2021,501212
Ballerup,I alt,I alt,Alder i alt,I alt,2021,32780
Skive,I alt,I alt,Alder i alt,I alt,2019,31024
Brønderslev,I alt,I alt,Alder i alt,I alt,2019,24037
Aalborg,I alt,I alt,Alder i alt,I alt,2019,156291
Assens,I alt,I alt,Alder i alt,I alt,2011,28544
Nyborg,I alt,I alt,Alder i alt,I alt,2011,21742
Norddjurs,I alt,I alt,Alder i alt,I alt,2019,25573
Randers,I alt,I alt,Alder i alt,I alt,2019,67172
Lejre,I alt,I alt,Alder i alt,I alt,2012,18582
Varde,I alt,I alt,Alder i alt,I alt,2011,34387
Holstebro,I alt,I alt,Alder i alt,I alt,2011,39798
Fredensborg,I alt,I alt,Alder i alt,I alt,2021,26682
Rebild,I alt,I alt,Alder i alt,I alt,2019,19929
Samsø,I alt,I alt,Alder i alt,I alt,2011,2599
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2019,37918
Frederikshavn,I alt,I alt,Alder i alt,I alt,2011,42916
Ishøj,I alt,I alt,Alder i alt,I alt,2021,16064
Guldborgsund,I alt,I alt,Alder i alt,I alt,2012,42918
Egedal,I alt,I alt,Alder i alt,I alt,2021,29284
Glostrup,I alt,I alt,Alder i alt,I alt,2021,16317
Aarhus,I alt,I alt,Alder i alt,I alt,2019,260373
Thisted,I alt,I alt,Alder i alt,I alt,2019,29050
Køge,I alt,I alt,Alder i alt,I alt,2021,41928
Frederikshavn,I alt,I alt,Alder i alt,I alt,2019,39596
Favrskov,I alt,I alt,Alder i alt,I alt,2019,32353
København,I alt,I alt,Alder i alt,I alt,2017,475962
Gentofte,I alt,I alt,Alder i alt,I alt,2021,48978
Silkeborg,I alt,I alt,Alder i alt,I alt,2019,63676
Ringsted,I alt,I alt,Alder i alt,I alt,2017,24133
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2021,39602
Furesø,I alt,I alt,Alder i alt,I alt,2021,26290
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2019,28480
Hjørring,I alt,I alt,Alder i alt,I alt,2019,43453
Solrød,I alt,I alt,Alder i alt,I alt,2021,15426
Hedensted,I alt,I alt,Alder i alt,I alt,2019,31571
Odense,I alt,I alt,Alder i alt,I alt,2019,148005
Dragør,I alt,I alt,Alder i alt,I alt,2017,9061
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2017,35121
Køge,I alt,I alt,Alder i alt,I alt,2019,41374
Holbæk,I alt,I alt,Alder i alt,I alt,2019,48934
Næstved,I alt,I alt,Alder i alt,I alt,2019,57177
Gribskov,I alt,I alt,Alder i alt,I alt,2017,27433
Langeland,I alt,I alt,Alder i alt,I alt,2019,8028
Hvidovre,I alt,I alt,Alder i alt,I alt,2021,36515
Vallensbæk,I alt,I alt,Alder i alt,I alt,2017,10577
Solrød,I alt,I alt,Alder i alt,I alt,2019,15312
Ringsted,I alt,I alt,Alder i alt,I alt,2019,24309
Fredensborg,I alt,I alt,Alder i alt,I alt,2017,27377
Egedal,I alt,I alt,Alder i alt,I alt,2017,28855
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2022,40179
Sorø,I alt,I alt,Alder i alt,I alt,2019,20285
Bornholm,I alt,I alt,Alder i alt,I alt,2019,25974
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2019,33914
Sorø,I alt,I alt,Alder i alt,I alt,2017,20228
Helsingør,I alt,I alt,Alder i alt,I alt,2022,41696
Ballerup,I alt,I alt,Alder i alt,I alt,2017,32118
Albertslund,I alt,I alt,Alder i alt,I alt,2017,19208
Aabenraa,I alt,I alt,Alder i alt,I alt,2019,39525
Faxe,I alt,I alt,Alder i alt,I alt,2017,24917
Glostrup,I alt,I alt,Alder i alt,I alt,2022,16455
Sønderborg,I alt,I alt,Alder i alt,I alt,2019,49285
Tårnby,I alt,I alt,Alder i alt,I alt,2022,29141
Kolding,I alt,I alt,Alder i alt,I alt,2019,64256
Roskilde,I alt,I alt,Alder i alt,I alt,2017,60028
Ballerup,I alt,I alt,Alder i alt,I alt,2022,33301
Hvidovre,I alt,I alt,Alder i alt,I alt,2022,36693
Fanø,I alt,I alt,Alder i alt,I alt,2019,2155
Hørsholm,I alt,I alt,Alder i alt,I alt,2017,15689
Gentofte,I alt,I alt,Alder i alt,I alt,2022,49372
Syddjurs,I alt,I alt,Alder i alt,I alt,2019,28369
Glostrup,I alt,I alt,Alder i alt,I alt,2017,15623
København,I alt,I alt,Alder i alt,I alt,2022,509615
Ishøj,I alt,I alt,Alder i alt,I alt,2017,16129
Ærø,I alt,I alt,Alder i alt,I alt,2019,3725
Køge,I alt,I alt,Alder i alt,I alt,2017,41332
Allerød,I alt,I alt,Alder i alt,I alt,2022,16648
Holstebro,I alt,I alt,Alder i alt,I alt,2019,39573
Halsnæs,I alt,I alt,Alder i alt,I alt,2019,21052
Slagelse,I alt,I alt,Alder i alt,I alt,2017,54752
Gentofte,I alt,I alt,Alder i alt,I alt,2017,51040
Furesø,I alt,I alt,Alder i alt,I alt,2017,26456
Rødovre,I alt,I alt,Alder i alt,I alt,2022,29137
Odsherred,I alt,I alt,Alder i alt,I alt,2017,21925
Herlev,I alt,I alt,Alder i alt,I alt,2022,19639
Gribskov,I alt,I alt,Alder i alt,I alt,2019,27045
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2017,37935
Faxe,I alt,I alt,Alder i alt,I alt,2019,25025
Slagelse,I alt,I alt,Alder i alt,I alt,2019,54396
Lejre,I alt,I alt,Alder i alt,I alt,2019,18564
Guldborgsund,I alt,I alt,Alder i alt,I alt,2019,40433
Helsingør,I alt,I alt,Alder i alt,I alt,2017,42062
Middelfart,I alt,I alt,Alder i alt,I alt,2019,25939
Kerteminde,I alt,I alt,Alder i alt,I alt,2019,15637
Svendborg,I alt,I alt,Alder i alt,I alt,2019,39420
Vallensbæk,I alt,I alt,Alder i alt,I alt,2022,10937
Frederikssund,I alt,I alt,Alder i alt,I alt,2017,30313
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2022,38008
Kalundborg,I alt,I alt,Alder i alt,I alt,2017,33237
Brøndby,I alt,I alt,Alder i alt,I alt,2017,24445
Varde,I alt,I alt,Alder i alt,I alt,2019,33451
Fredericia,I alt,I alt,Alder i alt,I alt,2019,35022
Hvidovre,I alt,I alt,Alder i alt,I alt,2017,36952
Brøndby,I alt,I alt,Alder i alt,I alt,2022,25310
Fredensborg,I alt,I alt,Alder i alt,I alt,2022,26934
Haderslev,I alt,I alt,Alder i alt,I alt,2019,37604
Tønder,I alt,I alt,Alder i alt,I alt,2019,25006
Gladsaxe,I alt,I alt,Alder i alt,I alt,2022,48284
Vejle,I alt,I alt,Alder i alt,I alt,2019,79073
Rudersdal,I alt,I alt,Alder i alt,I alt,2017,36103
Solrød,I alt,I alt,Alder i alt,I alt,2017,15000
Frederiksberg,I alt,I alt,Alder i alt,I alt,2017,76287
Ishøj,I alt,I alt,Alder i alt,I alt,2022,16419
Herlev,I alt,I alt,Alder i alt,I alt,2017,19340
Tårnby,I alt,I alt,Alder i alt,I alt,2017,29460
Frederiksberg,I alt,I alt,Alder i alt,I alt,2022,75929
Greve,I alt,I alt,Alder i alt,I alt,2019,33354
Albertslund,I alt,I alt,Alder i alt,I alt,2022,18788
Stevns,I alt,I alt,Alder i alt,I alt,2017,15388
Christiansø,I alt,I alt,Alder i alt,I alt,2019,56
Allerød,I alt,I alt,Alder i alt,I alt,2017,16503
Lemvig,I alt,I alt,Alder i alt,I alt,2019,13170
Roskilde,I alt,I alt,Alder i alt,I alt,2019,59960
Halsnæs,I alt,I alt,Alder i alt,I alt,2017,21155
Holbæk,I alt,I alt,Alder i alt,I alt,2017,49058
Furesø,I alt,I alt,Alder i alt,I alt,2022,26585
Kalundborg,I alt,I alt,Alder i alt,I alt,2019,32653
Gladsaxe,I alt,I alt,Alder i alt,I alt,2017,48470
Dragør,I alt,I alt,Alder i alt,I alt,2022,9020
Lolland,I alt,I alt,Alder i alt,I alt,2019,27129
Nyborg,I alt,I alt,Alder i alt,I alt,2019,21268
Nordfyns,I alt,I alt,Alder i alt,I alt,2019,20024
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2022,37456
Odsherred,I alt,I alt,Alder i alt,I alt,2019,21541
Stevns,I alt,I alt,Alder i alt,I alt,2019,15246
Vordingborg,I alt,I alt,Alder i alt,I alt,2019,30347
Rødovre,I alt,I alt,Alder i alt,I alt,2017,26819
Aalborg,I alt,I alt,Alder i alt,I alt,2022,159717
Assens,I alt,I alt,Alder i alt,I alt,2019,27511
Hillerød,I alt,I alt,Alder i alt,I alt,2017,34444
Vejen,I alt,I alt,Alder i alt,I alt,2019,28780
Horsens,I alt,I alt,Alder i alt,I alt,2019,63165
Greve,I alt,I alt,Alder i alt,I alt,2017,33407
Herning,I alt,I alt,Alder i alt,I alt,2017,61328
Rebild,I alt,I alt,Alder i alt,I alt,2022,20234
Vordingborg,I alt,I alt,Alder i alt,I alt,2017,31025
Favrskov,I alt,I alt,Alder i alt,I alt,2022,32522
Svendborg,I alt,I alt,Alder i alt,I alt,2017,40020
Ærø,I alt,I alt,Alder i alt,I alt,2017,3903
Billund,I alt,I alt,Alder i alt,I alt,2019,17906
Struer,I alt,I alt,Alder i alt,I alt,2017,14236
Favrskov,I alt,I alt,Alder i alt,I alt,2017,32380
Herning,I alt,I alt,Alder i alt,I alt,2022,61055
Struer,I alt,I alt,Alder i alt,I alt,2022,13662
Silkeborg,I alt,I alt,Alder i alt,I alt,2022,66881
Aarhus,I alt,I alt,Alder i alt,I alt,2022,268224
Esbjerg,I alt,I alt,Alder i alt,I alt,2019,79616
Christiansø,I alt,I alt,Alder i alt,I alt,2017,55
Kolding,I alt,I alt,Alder i alt,I alt,2017,63861
Thisted,I alt,I alt,Alder i alt,I alt,2022,28674
Frederikshavn,I alt,I alt,Alder i alt,I alt,2022,38639
Herning,I alt,I alt,Alder i alt,I alt,2019,61055
Struer,I alt,I alt,Alder i alt,I alt,2019,13971
Assens,I alt,I alt,Alder i alt,I alt,2017,28107
Fanø,I alt,I alt,Alder i alt,I alt,2017,2155
Aabenraa,I alt,I alt,Alder i alt,I alt,2017,40068
Hedensted,I alt,I alt,Alder i alt,I alt,2022,32234
Silkeborg,I alt,I alt,Alder i alt,I alt,2017,62846
Nyborg,I alt,I alt,Alder i alt,I alt,2017,21457
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2022,28184
Næstved,I alt,I alt,Alder i alt,I alt,2017,57391
Haderslev,I alt,I alt,Alder i alt,I alt,2017,38077
Hjørring,I alt,I alt,Alder i alt,I alt,2022,42614
Syddjurs,I alt,I alt,Alder i alt,I alt,2022,28674
Odder,I alt,I alt,Alder i alt,I alt,2022,15340
Holstebro,I alt,I alt,Alder i alt,I alt,2022,39581
Holstebro,I alt,I alt,Alder i alt,I alt,2017,39786
Syddjurs,I alt,I alt,Alder i alt,I alt,2017,28417
Samsø,I alt,I alt,Alder i alt,I alt,2022,2357
Viborg,I alt,I alt,Alder i alt,I alt,2022,65889
Bornholm,I alt,I alt,Alder i alt,I alt,2017,26409
Nordfyns,I alt,I alt,Alder i alt,I alt,2017,20115
Tønder,I alt,I alt,Alder i alt,I alt,2017,25570
Varde,I alt,I alt,Alder i alt,I alt,2017,34089
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2022,28656
Odder,I alt,I alt,Alder i alt,I alt,2017,15195
Morsø,I alt,I alt,Alder i alt,I alt,2022,13087
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2022,24035
Jammerbugt,I alt,I alt,Alder i alt,I alt,2022,25018
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2017,34271
Fredericia,I alt,I alt,Alder i alt,I alt,2017,34981
Vejle,I alt,I alt,Alder i alt,I alt,2017,78345
Lejre,I alt,I alt,Alder i alt,I alt,2017,18408
Vejle,I alt,I alt,Alder i alt,I alt,2022,82322
Norddjurs,I alt,I alt,Alder i alt,I alt,2022,24980
Odense,I alt,I alt,Alder i alt,I alt,2017,146159
Randers,I alt,I alt,Alder i alt,I alt,2022,68273
Skanderborg,I alt,I alt,Alder i alt,I alt,2022,42514
Lemvig,I alt,I alt,Alder i alt,I alt,2022,12768
Billund,I alt,I alt,Alder i alt,I alt,2017,17973
Norddjurs,I alt,I alt,Alder i alt,I alt,2017,26449
Skive,I alt,I alt,Alder i alt,I alt,2022,30258
Brønderslev,I alt,I alt,Alder i alt,I alt,2022,24019
Guldborgsund,I alt,I alt,Alder i alt,I alt,2017,41276
Læsø,I alt,I alt,Alder i alt,I alt,2022,1062
Horsens,I alt,I alt,Alder i alt,I alt,2022,66174
Langeland,I alt,I alt,Alder i alt,I alt,2017,8232
Frederikssund,I alt,I alt,Alder i alt,I alt,2022,30708
Lemvig,I alt,I alt,Alder i alt,I alt,2017,13640
Bornholm,I alt,I alt,Alder i alt,I alt,2022,25500
Middelfart,I alt,I alt,Alder i alt,I alt,2017,25685
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2022,34209
Odense,I alt,I alt,Alder i alt,I alt,2022,149463
Billund,I alt,I alt,Alder i alt,I alt,2022,18118
Esbjerg,I alt,I alt,Alder i alt,I alt,2017,80761
Vejen,I alt,I alt,Alder i alt,I alt,2017,28940
Esbjerg,I alt,I alt,Alder i alt,I alt,2022,78853
Randers,I alt,I alt,Alder i alt,I alt,2017,67969
Lolland,I alt,I alt,Alder i alt,I alt,2017,27997
Kerteminde,I alt,I alt,Alder i alt,I alt,2017,15790
Halsnæs,I alt,I alt,Alder i alt,I alt,2022,20758
Horsens,I alt,I alt,Alder i alt,I alt,2017,62455
Langeland,I alt,I alt,Alder i alt,I alt,2022,7747
Sønderborg,I alt,I alt,Alder i alt,I alt,2017,49974
Gribskov,I alt,I alt,Alder i alt,I alt,2022,27141
Faxe,I alt,I alt,Alder i alt,I alt,2022,25399
Rudersdal,I alt,I alt,Alder i alt,I alt,2022,36402
Slagelse,I alt,I alt,Alder i alt,I alt,2022,54699
Lejre,I alt,I alt,Alder i alt,I alt,2022,18956
Greve,I alt,I alt,Alder i alt,I alt,2022,33723
Guldborgsund,I alt,I alt,Alder i alt,I alt,2022,39816
Middelfart,I alt,I alt,Alder i alt,I alt,2022,26536
Sønderborg,I alt,I alt,Alder i alt,I alt,2022,49077
Aabenraa,I alt,I alt,Alder i alt,I alt,2022,39155
Frederikshavn,I alt,I alt,Alder i alt,I alt,2017,40481
Kolding,I alt,I alt,Alder i alt,I alt,2022,64784
Aarhus,I alt,I alt,Alder i alt,I alt,2017,253565
Thisted,I alt,I alt,Alder i alt,I alt,2017,29681
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2017,28930
Kerteminde,I alt,I alt,Alder i alt,I alt,2022,15609
Ærø,I alt,I alt,Alder i alt,I alt,2022,3689
Hjørring,I alt,I alt,Alder i alt,I alt,2017,44466
Fanø,I alt,I alt,Alder i alt,I alt,2022,2016
Hedensted,I alt,I alt,Alder i alt,I alt,2017,31609
Roskilde,I alt,I alt,Alder i alt,I alt,2022,61910
Svendborg,I alt,I alt,Alder i alt,I alt,2022,39657
Hillerød,I alt,I alt,Alder i alt,I alt,2022,36993
Viborg,I alt,I alt,Alder i alt,I alt,2017,66112
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2017,25153
Odsherred,I alt,I alt,Alder i alt,I alt,2022,21100
Kalundborg,I alt,I alt,Alder i alt,I alt,2022,32625
Jammerbugt,I alt,I alt,Alder i alt,I alt,2017,25897
Samsø,I alt,I alt,Alder i alt,I alt,2017,2372
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2017,28143
Morsø,I alt,I alt,Alder i alt,I alt,2017,13708
Lolland,I alt,I alt,Alder i alt,I alt,2022,26039
