BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Læsø,I alt,I alt,Alder i alt,I alt,2017,1122
Egedal,I alt,I alt,Alder i alt,I alt,2022,29916
Aalborg,I alt,I alt,Alder i alt,I alt,2017,154137
Skanderborg,I alt,I alt,Alder i alt,I alt,2017,41056
Stevns,I alt,I alt,Alder i alt,I alt,2022,15710
Skive,I alt,I alt,Alder i alt,I alt,2017,31613
Brønderslev,I alt,I alt,Alder i alt,I alt,2017,24155
Vordingborg,I alt,I alt,Alder i alt,I alt,2022,29968
Christiansø,I alt,I alt,Alder i alt,I alt,2022,67
Haderslev,I alt,I alt,Alder i alt,I alt,2022,37224
Varde,I alt,I alt,Alder i alt,I alt,2022,33170
Rebild,I alt,I alt,Alder i alt,I alt,2017,19928
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2017,38430
Fredericia,I alt,I alt,Alder i alt,I alt,2022,35575
Assens,I alt,I alt,Alder i alt,I alt,2022,27351
Nyborg,I alt,I alt,Alder i alt,I alt,2022,21361
Glostrup,I alt,I alt,Alder i alt,I alt,2008,14673
Hvidovre,I alt,I alt,Alder i alt,I alt,2008,34492
Gladsaxe,I alt,I alt,Alder i alt,I alt,2008,43661
Tønder,I alt,I alt,Alder i alt,I alt,2022,24388
Køge,I alt,I alt,Alder i alt,I alt,2022,42477
Rødovre,I alt,I alt,Alder i alt,I alt,2008,24809
Herlev,I alt,I alt,Alder i alt,I alt,2008,18427
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2008,33993
Solrød,I alt,I alt,Alder i alt,I alt,2022,15622
Ishøj,I alt,I alt,Alder i alt,I alt,2008,15280
Holbæk,I alt,I alt,Alder i alt,I alt,2022,49771
Nordfyns,I alt,I alt,Alder i alt,I alt,2022,19985
Albertslund,I alt,I alt,Alder i alt,I alt,2008,20307
Hørsholm,I alt,I alt,Alder i alt,I alt,2022,15130
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2008,35047
Ringsted,I alt,I alt,Alder i alt,I alt,2022,25067
Odense,I alt,I alt,Alder i alt,I alt,2008,135825
Langeland,I alt,I alt,Alder i alt,I alt,2008,9208
Vallensbæk,I alt,I alt,Alder i alt,I alt,2008,9480
Hørsholm,I alt,I alt,Alder i alt,I alt,2008,16066
Frederikssund,I alt,I alt,Alder i alt,I alt,2008,30878
Halsnæs,I alt,I alt,Alder i alt,I alt,2008,21827
Gribskov,I alt,I alt,Alder i alt,I alt,2008,28651
Lolland,I alt,I alt,Alder i alt,I alt,2008,33330
Sorø,I alt,I alt,Alder i alt,I alt,2022,20470
Næstved,I alt,I alt,Alder i alt,I alt,2022,57670
Vejen,I alt,I alt,Alder i alt,I alt,2022,28607
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2015,29197
Lemvig,I alt,I alt,Alder i alt,I alt,2015,13987
Randers,I alt,I alt,Alder i alt,I alt,2015,68021
Morsø,I alt,I alt,Alder i alt,I alt,2015,14103
Skanderborg,I alt,I alt,Alder i alt,I alt,2015,40517
Stevns,I alt,I alt,Alder i alt,I alt,2008,15401
Hjørring,I alt,I alt,Alder i alt,I alt,2015,45012
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2008,35712
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2015,25496
Kalundborg,I alt,I alt,Alder i alt,I alt,2008,34757
Herning,I alt,I alt,Alder i alt,I alt,2015,60952
Tønder,I alt,I alt,Alder i alt,I alt,2008,27824
Furesø,I alt,I alt,Alder i alt,I alt,2008,25381
Helsingør,I alt,I alt,Alder i alt,I alt,2008,42187
Odsherred,I alt,I alt,Alder i alt,I alt,2008,23208
Struer,I alt,I alt,Alder i alt,I alt,2015,14601
Næstved,I alt,I alt,Alder i alt,I alt,2008,57303
Bornholm,I alt,I alt,Alder i alt,I alt,2008,29629
Jammerbugt,I alt,I alt,Alder i alt,I alt,2015,26272
Rudersdal,I alt,I alt,Alder i alt,I alt,2008,35565
Favrskov,I alt,I alt,Alder i alt,I alt,2015,32383
Roskilde,I alt,I alt,Alder i alt,I alt,2008,57411
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2015,38777
Skive,I alt,I alt,Alder i alt,I alt,2015,31943
Svendborg,I alt,I alt,Alder i alt,I alt,2008,41786
Brønderslev,I alt,I alt,Alder i alt,I alt,2015,24236
Greve,I alt,I alt,Alder i alt,I alt,2008,34142
Sorø,I alt,I alt,Alder i alt,I alt,2008,20362
Silkeborg,I alt,I alt,Alder i alt,I alt,2015,62476
Aarhus,I alt,I alt,Alder i alt,I alt,2015,247375
Ærø,I alt,I alt,Alder i alt,I alt,2008,4520
Læsø,I alt,I alt,Alder i alt,I alt,2015,1201
Kerteminde,I alt,I alt,Alder i alt,I alt,2008,16319
Sønderborg,I alt,I alt,Alder i alt,I alt,2008,52703
Syddjurs,I alt,I alt,Alder i alt,I alt,2015,28583
Ringsted,I alt,I alt,Alder i alt,I alt,2008,22741
Holstebro,I alt,I alt,Alder i alt,I alt,2015,39764
Middelfart,I alt,I alt,Alder i alt,I alt,2008,25837
Hedensted,I alt,I alt,Alder i alt,I alt,2015,31579
Thisted,I alt,I alt,Alder i alt,I alt,2015,30234
Haderslev,I alt,I alt,Alder i alt,I alt,2008,39311
Rebild,I alt,I alt,Alder i alt,I alt,2015,19678
Aalborg,I alt,I alt,Alder i alt,I alt,2015,152973
Holbæk,I alt,I alt,Alder i alt,I alt,2008,48911
Odder,I alt,I alt,Alder i alt,I alt,2015,15109
Frederikshavn,I alt,I alt,Alder i alt,I alt,2015,41385
Tårnby,I alt,I alt,Alder i alt,I alt,2008,27941
Allerød,I alt,I alt,Alder i alt,I alt,2008,16150
Hillerød,I alt,I alt,Alder i alt,I alt,2008,32200
Guldborgsund,I alt,I alt,Alder i alt,I alt,2008,44236
Vejle,I alt,I alt,Alder i alt,I alt,2015,77270
Samsø,I alt,I alt,Alder i alt,I alt,2015,2462
Egedal,I alt,I alt,Alder i alt,I alt,2008,28729
Køge,I alt,I alt,Alder i alt,I alt,2008,39836
Solrød,I alt,I alt,Alder i alt,I alt,2008,14645
Lejre,I alt,I alt,Alder i alt,I alt,2008,18596
Nordfyns,I alt,I alt,Alder i alt,I alt,2008,20565
Norddjurs,I alt,I alt,Alder i alt,I alt,2015,26717
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2015,28087
Viborg,I alt,I alt,Alder i alt,I alt,2015,66046
Slagelse,I alt,I alt,Alder i alt,I alt,2008,54729
Frederiksberg,I alt,I alt,Alder i alt,I alt,2015,76683
Christiansø,I alt,I alt,Alder i alt,I alt,2008,69
Nyborg,I alt,I alt,Alder i alt,I alt,2008,21834
Herlev,I alt,I alt,Alder i alt,I alt,2015,19340
Billund,I alt,I alt,Alder i alt,I alt,2008,18032
Dragør,I alt,I alt,Alder i alt,I alt,2015,9141
Faxe,I alt,I alt,Alder i alt,I alt,2008,24925
Assens,I alt,I alt,Alder i alt,I alt,2008,28964
Glostrup,I alt,I alt,Alder i alt,I alt,2015,15656
Fredensborg,I alt,I alt,Alder i alt,I alt,2008,27423
Vordingborg,I alt,I alt,Alder i alt,I alt,2008,32402
Ballerup,I alt,I alt,Alder i alt,I alt,2015,32460
Gentofte,I alt,I alt,Alder i alt,I alt,2015,51486
København,I alt,I alt,Alder i alt,I alt,2015,460037
Aabenraa,I alt,I alt,Alder i alt,I alt,2008,42218
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2008,29726
Hjørring,I alt,I alt,Alder i alt,I alt,2008,46548
Fanø,I alt,I alt,Alder i alt,I alt,2008,2264
Kolding,I alt,I alt,Alder i alt,I alt,2008,62409
Brøndby,I alt,I alt,Alder i alt,I alt,2015,24537
Syddjurs,I alt,I alt,Alder i alt,I alt,2008,28627
Odder,I alt,I alt,Alder i alt,I alt,2008,14884
Viborg,I alt,I alt,Alder i alt,I alt,2008,64557
Gladsaxe,I alt,I alt,Alder i alt,I alt,2015,47242
Samsø,I alt,I alt,Alder i alt,I alt,2008,2702
Hvidovre,I alt,I alt,Alder i alt,I alt,2015,36907
Morsø,I alt,I alt,Alder i alt,I alt,2008,15134
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2008,26522
Holstebro,I alt,I alt,Alder i alt,I alt,2008,40016
Stevns,I alt,I alt,Alder i alt,I alt,2015,15301
Lolland,I alt,I alt,Alder i alt,I alt,2015,29080
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2008,27913
Tårnby,I alt,I alt,Alder i alt,I alt,2015,29674
Helsingør,I alt,I alt,Alder i alt,I alt,2015,42515
Frederikssund,I alt,I alt,Alder i alt,I alt,2015,30414
Solrød,I alt,I alt,Alder i alt,I alt,2015,14918
Christiansø,I alt,I alt,Alder i alt,I alt,2015,65
Jammerbugt,I alt,I alt,Alder i alt,I alt,2008,27088
Varde,I alt,I alt,Alder i alt,I alt,2008,34428
Fredericia,I alt,I alt,Alder i alt,I alt,2008,34879
Skanderborg,I alt,I alt,Alder i alt,I alt,2008,39066
Holbæk,I alt,I alt,Alder i alt,I alt,2015,48605
Vordingborg,I alt,I alt,Alder i alt,I alt,2015,31277
Randers,I alt,I alt,Alder i alt,I alt,2008,66171
Ringsted,I alt,I alt,Alder i alt,I alt,2015,24064
Vejle,I alt,I alt,Alder i alt,I alt,2008,73522
Norddjurs,I alt,I alt,Alder i alt,I alt,2008,26882
Assens,I alt,I alt,Alder i alt,I alt,2015,28213
Skive,I alt,I alt,Alder i alt,I alt,2008,33471
Brønderslev,I alt,I alt,Alder i alt,I alt,2008,24368
Allerød,I alt,I alt,Alder i alt,I alt,2015,16306
Læsø,I alt,I alt,Alder i alt,I alt,2008,1334
Rudersdal,I alt,I alt,Alder i alt,I alt,2015,36239
Halsnæs,I alt,I alt,Alder i alt,I alt,2015,21357
Lemvig,I alt,I alt,Alder i alt,I alt,2008,15031
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2008,40193
Nyborg,I alt,I alt,Alder i alt,I alt,2015,21627
Rødovre,I alt,I alt,Alder i alt,I alt,2015,26083
Aalborg,I alt,I alt,Alder i alt,I alt,2008,142461
Sorø,I alt,I alt,Alder i alt,I alt,2015,20362
Vejen,I alt,I alt,Alder i alt,I alt,2008,29112
Rebild,I alt,I alt,Alder i alt,I alt,2008,19771
Esbjerg,I alt,I alt,Alder i alt,I alt,2008,81972
Næstved,I alt,I alt,Alder i alt,I alt,2015,57651
Horsens,I alt,I alt,Alder i alt,I alt,2008,57315
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2015,34788
Aarhus,I alt,I alt,Alder i alt,I alt,2008,225032
Greve,I alt,I alt,Alder i alt,I alt,2015,33786
Gribskov,I alt,I alt,Alder i alt,I alt,2015,27903
Favrskov,I alt,I alt,Alder i alt,I alt,2008,31572
Silkeborg,I alt,I alt,Alder i alt,I alt,2008,61128
Thisted,I alt,I alt,Alder i alt,I alt,2008,31633
Frederikshavn,I alt,I alt,Alder i alt,I alt,2008,43931
Vallensbæk,I alt,I alt,Alder i alt,I alt,2015,10385
Hillerød,I alt,I alt,Alder i alt,I alt,2015,34125
Faxe,I alt,I alt,Alder i alt,I alt,2015,24842
Herning,I alt,I alt,Alder i alt,I alt,2008,59807
Struer,I alt,I alt,Alder i alt,I alt,2008,15755
Bornholm,I alt,I alt,Alder i alt,I alt,2015,26995
Hedensted,I alt,I alt,Alder i alt,I alt,2008,31376
Dragør,I alt,I alt,Alder i alt,I alt,2008,9129
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2015,34539
Albertslund,I alt,I alt,Alder i alt,I alt,2015,19463
Fredensborg,I alt,I alt,Alder i alt,I alt,2015,27314
Roskilde,I alt,I alt,Alder i alt,I alt,2015,60081
Slagelse,I alt,I alt,Alder i alt,I alt,2015,54559
København,I alt,I alt,Alder i alt,I alt,2008,401484
Ballerup,I alt,I alt,Alder i alt,I alt,2008,32815
Ishøj,I alt,I alt,Alder i alt,I alt,2015,15921
Egedal,I alt,I alt,Alder i alt,I alt,2015,29048
Gentofte,I alt,I alt,Alder i alt,I alt,2008,47235
Lejre,I alt,I alt,Alder i alt,I alt,2015,18629
Guldborgsund,I alt,I alt,Alder i alt,I alt,2015,41721
Brøndby,I alt,I alt,Alder i alt,I alt,2008,23519
Odsherred,I alt,I alt,Alder i alt,I alt,2015,22314
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2015,37583
Frederiksberg,I alt,I alt,Alder i alt,I alt,2008,70387
Furesø,I alt,I alt,Alder i alt,I alt,2015,26347
Hørsholm,I alt,I alt,Alder i alt,I alt,2015,15979
Dragør,I alt,I alt,Alder i alt,I alt,2023,8957
Køge,I alt,I alt,Alder i alt,I alt,2015,41408
Kalundborg,I alt,I alt,Alder i alt,I alt,2015,33588
Middelfart,I alt,I alt,Alder i alt,I alt,2015,25902
Kerteminde,I alt,I alt,Alder i alt,I alt,2015,16082
Glostrup,I alt,I alt,Alder i alt,I alt,2023,16519
Ballerup,I alt,I alt,Alder i alt,I alt,2023,34252
Vejen,I alt,I alt,Alder i alt,I alt,2015,29119
Horsens,I alt,I alt,Alder i alt,I alt,2015,61545
Svendborg,I alt,I alt,Alder i alt,I alt,2015,40271
København,I alt,I alt,Alder i alt,I alt,2023,516980
Gentofte,I alt,I alt,Alder i alt,I alt,2023,49731
Haderslev,I alt,I alt,Alder i alt,I alt,2015,38568
Tønder,I alt,I alt,Alder i alt,I alt,2015,26063
Aabenraa,I alt,I alt,Alder i alt,I alt,2015,40477
Herlev,I alt,I alt,Alder i alt,I alt,2023,20088
Brøndby,I alt,I alt,Alder i alt,I alt,2023,27021
Nordfyns,I alt,I alt,Alder i alt,I alt,2015,20132
Fanø,I alt,I alt,Alder i alt,I alt,2015,2179
Esbjerg,I alt,I alt,Alder i alt,I alt,2015,81662
Kolding,I alt,I alt,Alder i alt,I alt,2015,63982
Billund,I alt,I alt,Alder i alt,I alt,2015,18147
Gladsaxe,I alt,I alt,Alder i alt,I alt,2023,48960
Frederiksberg,I alt,I alt,Alder i alt,I alt,2023,76485
Odense,I alt,I alt,Alder i alt,I alt,2015,144427
Varde,I alt,I alt,Alder i alt,I alt,2015,34419
Fredericia,I alt,I alt,Alder i alt,I alt,2015,34992
Langeland,I alt,I alt,Alder i alt,I alt,2015,8351
Sønderborg,I alt,I alt,Alder i alt,I alt,2015,50400
Hillerød,I alt,I alt,Alder i alt,I alt,2023,37310
Ærø,I alt,I alt,Alder i alt,I alt,2015,4097
Roskilde,I alt,I alt,Alder i alt,I alt,2023,62024
Rødovre,I alt,I alt,Alder i alt,I alt,2023,30432
Odsherred,I alt,I alt,Alder i alt,I alt,2023,20717
Egedal,I alt,I alt,Alder i alt,I alt,2023,30323
Kalundborg,I alt,I alt,Alder i alt,I alt,2023,32512
Vallensbæk,I alt,I alt,Alder i alt,I alt,2023,11684
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2023,40089
Fredensborg,I alt,I alt,Alder i alt,I alt,2023,27009
Køge,I alt,I alt,Alder i alt,I alt,2023,42716
Ringsted,I alt,I alt,Alder i alt,I alt,2023,25505
Hørsholm,I alt,I alt,Alder i alt,I alt,2023,15162
Solrød,I alt,I alt,Alder i alt,I alt,2023,16015
Holbæk,I alt,I alt,Alder i alt,I alt,2023,50073
Ishøj,I alt,I alt,Alder i alt,I alt,2023,16532
Frederikssund,I alt,I alt,Alder i alt,I alt,2023,30729
Furesø,I alt,I alt,Alder i alt,I alt,2023,27051
Helsingør,I alt,I alt,Alder i alt,I alt,2023,41892
Halsnæs,I alt,I alt,Alder i alt,I alt,2023,20641
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2023,40447
Rudersdal,I alt,I alt,Alder i alt,I alt,2023,36398
Gribskov,I alt,I alt,Alder i alt,I alt,2023,27316
Faxe,I alt,I alt,Alder i alt,I alt,2023,25717
Tårnby,I alt,I alt,Alder i alt,I alt,2023,29628
Greve,I alt,I alt,Alder i alt,I alt,2023,34002
Allerød,I alt,I alt,Alder i alt,I alt,2023,16605
Hvidovre,I alt,I alt,Alder i alt,I alt,2023,36896
Albertslund,I alt,I alt,Alder i alt,I alt,2023,18879
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2023,27983
Hjørring,I alt,I alt,Alder i alt,I alt,2023,42377
Viborg,I alt,I alt,Alder i alt,I alt,2023,65828
Morsø,I alt,I alt,Alder i alt,I alt,2023,12958
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2023,23829
Jammerbugt,I alt,I alt,Alder i alt,I alt,2023,24963
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2023,37279
Skive,I alt,I alt,Alder i alt,I alt,2023,29872
Brønderslev,I alt,I alt,Alder i alt,I alt,2023,24117
Læsø,I alt,I alt,Alder i alt,I alt,2023,1031
Aalborg,I alt,I alt,Alder i alt,I alt,2023,159913
Rebild,I alt,I alt,Alder i alt,I alt,2023,20174
Thisted,I alt,I alt,Alder i alt,I alt,2023,28423
Frederikshavn,I alt,I alt,Alder i alt,I alt,2023,38159
Hedensted,I alt,I alt,Alder i alt,I alt,2023,32328
Syddjurs,I alt,I alt,Alder i alt,I alt,2023,28508
Odder,I alt,I alt,Alder i alt,I alt,2023,15518
Stevns,I alt,I alt,Alder i alt,I alt,2023,15511
Lolland,I alt,I alt,Alder i alt,I alt,2023,25750
Christiansø,I alt,I alt,Alder i alt,I alt,2023,61
Haderslev,I alt,I alt,Alder i alt,I alt,2023,37197
Varde,I alt,I alt,Alder i alt,I alt,2023,32986
Holstebro,I alt,I alt,Alder i alt,I alt,2023,39466
Vordingborg,I alt,I alt,Alder i alt,I alt,2023,30327
Tønder,I alt,I alt,Alder i alt,I alt,2023,24125
Fredericia,I alt,I alt,Alder i alt,I alt,2023,35841
Samsø,I alt,I alt,Alder i alt,I alt,2023,2310
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2023,28802
Assens,I alt,I alt,Alder i alt,I alt,2023,27139
Nyborg,I alt,I alt,Alder i alt,I alt,2023,21429
Vejle,I alt,I alt,Alder i alt,I alt,2023,82953
Nordfyns,I alt,I alt,Alder i alt,I alt,2023,19890
Norddjurs,I alt,I alt,Alder i alt,I alt,2023,24675
Skanderborg,I alt,I alt,Alder i alt,I alt,2023,42456
Sorø,I alt,I alt,Alder i alt,I alt,2023,20544
Næstved,I alt,I alt,Alder i alt,I alt,2023,57664
Lemvig,I alt,I alt,Alder i alt,I alt,2023,12589
Randers,I alt,I alt,Alder i alt,I alt,2023,68084
Bornholm,I alt,I alt,Alder i alt,I alt,2023,25159
Billund,I alt,I alt,Alder i alt,I alt,2023,18248
Vejen,I alt,I alt,Alder i alt,I alt,2023,28673
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2023,34239
Odense,I alt,I alt,Alder i alt,I alt,2023,150513
Esbjerg,I alt,I alt,Alder i alt,I alt,2023,78444
Horsens,I alt,I alt,Alder i alt,I alt,2023,66682
Langeland,I alt,I alt,Alder i alt,I alt,2023,7659
Slagelse,I alt,I alt,Alder i alt,I alt,2023,54677
Lejre,I alt,I alt,Alder i alt,I alt,2023,19196
Herning,I alt,I alt,Alder i alt,I alt,2023,60934
Struer,I alt,I alt,Alder i alt,I alt,2023,13387
Favrskov,I alt,I alt,Alder i alt,I alt,2023,32642
Aarhus,I alt,I alt,Alder i alt,I alt,2023,272758
Guldborgsund,I alt,I alt,Alder i alt,I alt,2023,39315
Sønderborg,I alt,I alt,Alder i alt,I alt,2023,49167
Aabenraa,I alt,I alt,Alder i alt,I alt,2023,38783
Silkeborg,I alt,I alt,Alder i alt,I alt,2023,67447
Middelfart,I alt,I alt,Alder i alt,I alt,2023,26566
Kerteminde,I alt,I alt,Alder i alt,I alt,2023,15466
Ærø,I alt,I alt,Alder i alt,I alt,2023,3630
Fanø,I alt,I alt,Alder i alt,I alt,2023,1970
Kolding,I alt,I alt,Alder i alt,I alt,2023,65076
Svendborg,I alt,I alt,Alder i alt,I alt,2023,39486
Frederiksberg,I alt,I alt,Alder i alt,I alt,2020,74984
København,I alt,I alt,Alder i alt,I alt,2020,495640
Faaborg-Midtfyn,I alt,I alt,Alder i alt,I alt,2020,33837
Odense,I alt,I alt,Alder i alt,I alt,2020,147995
Herning,I alt,I alt,Alder i alt,I alt,2020,60897
Hedensted,I alt,I alt,Alder i alt,I alt,2020,31635
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2020,28082
Langeland,I alt,I alt,Alder i alt,I alt,2020,7829
Aabenraa,I alt,I alt,Alder i alt,I alt,2020,39263
Sønderborg,I alt,I alt,Alder i alt,I alt,2020,48807
Viborg,I alt,I alt,Alder i alt,I alt,2020,65173
Fanø,I alt,I alt,Alder i alt,I alt,2020,2082
Kolding,I alt,I alt,Alder i alt,I alt,2020,63813
Syddjurs,I alt,I alt,Alder i alt,I alt,2020,28311
Odder,I alt,I alt,Alder i alt,I alt,2020,15101
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2020,24204
Ærø,I alt,I alt,Alder i alt,I alt,2020,3676
Samsø,I alt,I alt,Alder i alt,I alt,2020,2272
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2020,27912
Morsø,I alt,I alt,Alder i alt,I alt,2020,13217
Middelfart,I alt,I alt,Alder i alt,I alt,2020,26013
Kerteminde,I alt,I alt,Alder i alt,I alt,2020,15595
Holstebro,I alt,I alt,Alder i alt,I alt,2020,39415
Svendborg,I alt,I alt,Alder i alt,I alt,2020,39121
Varde,I alt,I alt,Alder i alt,I alt,2020,33108
Fredericia,I alt,I alt,Alder i alt,I alt,2020,34935
Skanderborg,I alt,I alt,Alder i alt,I alt,2020,41707
Haderslev,I alt,I alt,Alder i alt,I alt,2020,37405
Tønder,I alt,I alt,Alder i alt,I alt,2020,24717
Norddjurs,I alt,I alt,Alder i alt,I alt,2020,25104
Randers,I alt,I alt,Alder i alt,I alt,2020,67083
Skive,I alt,I alt,Alder i alt,I alt,2020,30597
Brønderslev,I alt,I alt,Alder i alt,I alt,2020,23855
Læsø,I alt,I alt,Alder i alt,I alt,2020,1056
Christiansø,I alt,I alt,Alder i alt,I alt,2020,58
Vejle,I alt,I alt,Alder i alt,I alt,2020,79696
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2020,37458
Assens,I alt,I alt,Alder i alt,I alt,2020,27164
Nyborg,I alt,I alt,Alder i alt,I alt,2020,21180
Lemvig,I alt,I alt,Alder i alt,I alt,2020,12995
Rebild,I alt,I alt,Alder i alt,I alt,2020,20103
Nordfyns,I alt,I alt,Alder i alt,I alt,2020,19816
Vejen,I alt,I alt,Alder i alt,I alt,2020,28760
Horsens,I alt,I alt,Alder i alt,I alt,2020,63200
Billund,I alt,I alt,Alder i alt,I alt,2020,17770
Esbjerg,I alt,I alt,Alder i alt,I alt,2020,79095
Aarhus,I alt,I alt,Alder i alt,I alt,2020,262175
Thisted,I alt,I alt,Alder i alt,I alt,2020,28812
Frederikshavn,I alt,I alt,Alder i alt,I alt,2020,38866
Struer,I alt,I alt,Alder i alt,I alt,2020,13751
Favrskov,I alt,I alt,Alder i alt,I alt,2020,32035
Silkeborg,I alt,I alt,Alder i alt,I alt,2020,64163
Bornholm,I alt,I alt,Alder i alt,I alt,2020,25652
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2020,35253
Solrød,I alt,I alt,Alder i alt,I alt,2020,15388
Holbæk,I alt,I alt,Alder i alt,I alt,2020,48941
Ringsted,I alt,I alt,Alder i alt,I alt,2020,24321
Sorø,I alt,I alt,Alder i alt,I alt,2020,20350
Næstved,I alt,I alt,Alder i alt,I alt,2020,56881
Brøndby,I alt,I alt,Alder i alt,I alt,2020,24013
Hørsholm,I alt,I alt,Alder i alt,I alt,2020,15198
Gladsaxe,I alt,I alt,Alder i alt,I alt,2020,47779
Ishøj,I alt,I alt,Alder i alt,I alt,2020,15964
Frederikssund,I alt,I alt,Alder i alt,I alt,2020,30264
Furesø,I alt,I alt,Alder i alt,I alt,2020,26121
Halsnæs,I alt,I alt,Alder i alt,I alt,2020,20906
Albertslund,I alt,I alt,Alder i alt,I alt,2020,18838
Helsingør,I alt,I alt,Alder i alt,I alt,2020,41749
Gribskov,I alt,I alt,Alder i alt,I alt,2020,26851
Faxe,I alt,I alt,Alder i alt,I alt,2020,25001
Slagelse,I alt,I alt,Alder i alt,I alt,2020,54318
Lejre,I alt,I alt,Alder i alt,I alt,2020,18471
Guldborgsund,I alt,I alt,Alder i alt,I alt,2020,39977
Dragør,I alt,I alt,Alder i alt,I alt,2020,9073
Lyngby-Taarbæk,I alt,I alt,Alder i alt,I alt,2020,38444
Rudersdal,I alt,I alt,Alder i alt,I alt,2020,36258
Greve,I alt,I alt,Alder i alt,I alt,2020,33261
Glostrup,I alt,I alt,Alder i alt,I alt,2020,16158
Tårnby,I alt,I alt,Alder i alt,I alt,2020,28808
Hvidovre,I alt,I alt,Alder i alt,I alt,2020,36710
Allerød,I alt,I alt,Alder i alt,I alt,2020,16668
Roskilde,I alt,I alt,Alder i alt,I alt,2020,60756
Ballerup,I alt,I alt,Alder i alt,I alt,2020,32500
Odsherred,I alt,I alt,Alder i alt,I alt,2020,21309
Kalundborg,I alt,I alt,Alder i alt,I alt,2020,32414
Stevns,I alt,I alt,Alder i alt,I alt,2020,15231
Lolland,I alt,I alt,Alder i alt,I alt,2020,26569
Vordingborg,I alt,I alt,Alder i alt,I alt,2020,30015
Gentofte,I alt,I alt,Alder i alt,I alt,2020,49425
Hillerød,I alt,I alt,Alder i alt,I alt,2020,34922
Rødovre,I alt,I alt,Alder i alt,I alt,2020,27998
Egedal,I alt,I alt,Alder i alt,I alt,2020,28855
Køge,I alt,I alt,Alder i alt,I alt,2020,41664
Herlev,I alt,I alt,Alder i alt,I alt,2020,19577
Vallensbæk,I alt,I alt,Alder i alt,I alt,2020,10700
Fredensborg,I alt,I alt,Alder i alt,I alt,2020,26736
Hjørring,I alt,I alt,Alder i alt,I alt,2020,43042
Jammerbugt,I alt,I alt,Alder i alt,I alt,2020,25210
Aalborg,I alt,I alt,Alder i alt,I alt,2020,157593