broader_region,municipality,year,total_population,avg_income,gini_coefficient,unemployment_rate,share_of_higher_educated
,Nordfyns,2008,29578.0,137111.0,25.45,2.9,69.5
,Nordfyns,2009,29658.0,132719.0,23.8,5.7,69.1
,Nordfyns,2010,29574.0,139446.0,22.77,7.5,69.4
,Nordfyns,2011,29472.0,141863.0,23.84,7.4,69.3
,Nordfyns,2012,29286.0,147220.0,22.02,7.2,69.0
,Nordfyns,2013,29124.0,155492.0,22.53,6.1,69.0
,Nordfyns,2014,29042.0,155445.0,22.63,5.0,69.1
,Nordfyns,2015,29164.0,156748.0,23.03,5.0,69.0
,Nordfyns,2016,29341.0,156850.0,23.37,4.4,68.7
,Nordfyns,2017,29543.0,158241.0,23.61,4.9,68.1
,Nordfyns,2018,29608.0,179049.0,23.91,4.3,68.1
,Nordfyns,2019,29727.0,179601.0,24.63,4.1,67.4
,Nordfyns,2020,29636.0,191264.0,24.31,5.1,66.9
,Nordfyns,2021,29584.0,200988.0,24.66,3.6,67.1
,Nordfyns,2022,29812.0,206628.0,25.21,2.6,67.0
,Nordfyns,2023,29693.0,212024.0,25.56,2.9,67.0
,Nyborg,2008,31646.0,133317.0,23.59,2.6,69.0
,Nyborg,2009,31717.0,142811.0,22.31,5.1,68.9
,Nyborg,2010,31624.0,148830.0,22.71,6.7,69.0
,Nyborg,2011,31530.0,148399.0,22.64,7.1,69.0
,Nyborg,2012,31415.0,150836.0,22.35,7.0,68.8
,Nyborg,2013,31297.0,152909.0,24.01,6.2,68.7
,Nyborg,2014,31374.0,156753.0,23.35,5.2,68.7
,Nyborg,2015,31667.0,154979.0,23.32,4.6,68.3
,Nyborg,2016,31999.0,161977.0,23.68,4.1,67.9
,Nyborg,2017,32080.0,166815.0,24.01,4.5,66.9
,Nyborg,2018,32033.0,179961.0,24.21,3.8,66.7
,Nyborg,2019,32010.0,187374.0,24.29,3.7,66.4
,Nyborg,2020,31958.0,196178.0,25.03,5.0,66.3
,Nyborg,2021,31992.0,229312.0,25.32,3.4,66.5
,Nyborg,2022,32132.0,213222.0,24.95,2.4,66.5
,Nyborg,2023,32279.0,230176.0,25.52,3.2,66.4
,Odder,2008,21590.0,138825.0,24.91,2.0,68.9
,Odder,2009,21625.0,142427.0,23.84,4.1,69.0
,Odder,2010,21793.0,149239.0,23.35,5.1,69.1
,Odder,2011,21816.0,157642.0,23.52,4.8,69.0
,Odder,2012,21790.0,156387.0,22.81,4.8,68.9
,Odder,2013,21824.0,155419.0,23.2,4.3,68.7
,Odder,2014,21810.0,160629.0,23.44,3.5,68.5
,Odder,2015,21980.0,152926.0,24.01,3.1,68.7
,Odder,2016,22193.0,161010.0,23.97,3.1,68.0
,Odder,2017,22467.0,162899.0,25.01,3.6,67.6
,Odder,2018,22626.0,178022.0,24.48,3.1,67.0
,Odder,2019,22752.0,196374.0,24.36,2.9,66.7
,Odder,2020,22892.0,209256.0,24.85,3.7,66.0
,Odder,2021,23076.0,224956.0,24.75,2.9,65.6
,Odder,2022,23466.0,238840.0,24.53,2.0,65.4
,Odder,2023,23753.0,247432.0,25.29,2.5,65.3
,Randers,2008,93855.0,138033.0,24.38,2.3,70.5
,Randers,2009,94481.0,137971.0,23.7,5.3,70.5
,Randers,2010,94944.0,141587.0,23.65,6.7,70.7
,Randers,2011,95467.0,142813.0,23.65,6.2,70.6
,Randers,2012,95848.0,142970.0,23.26,6.2,70.5
,Randers,2013,96077.0,141361.0,23.71,5.9,70.4
,Randers,2014,96540.0,145545.0,24.14,5.4,70.3
,Randers,2015,96985.0,143558.0,24.33,4.7,70.1
,Randers,2016,97701.0,150945.0,24.65,4.2,69.7
,Randers,2017,98169.0,154293.0,24.91,4.2,69.2
,Randers,2018,98091.0,163202.0,24.84,3.9,68.8
,Randers,2019,97926.0,183015.0,24.99,3.8,68.6
,Randers,2020,97974.0,190206.0,25.53,4.6,68.5
,Randers,2021,98466.0,204011.0,25.53,3.5,68.6
,Randers,2022,99444.0,208358.0,25.8,2.6,68.6
,Randers,2023,99847.0,217358.0,25.1,3.1,68.2
,Rebild,2008,28828.0,136531.0,30.9,2.1,68.6
,Rebild,2009,28882.0,141230.0,26.28,5.0,68.4
,Rebild,2010,28886.0,143721.0,25.18,6.0,68.6
,Rebild,2011,28960.0,138223.0,24.84,5.1,68.6
,Rebild,2012,28892.0,145318.0,24.01,4.5,68.5
,Rebild,2013,28847.0,147010.0,24.29,4.2,68.6
,Rebild,2014,28850.0,152571.0,24.01,3.9,68.2
,Rebild,2015,28978.0,152673.0,23.9,3.5,67.9
,Rebild,2016,29216.0,165443.0,24.33,3.4,67.5
,Rebild,2017,29570.0,168644.0,24.55,3.7,67.4
,Rebild,2018,29876.0,180412.0,24.58,3.1,66.6
,Rebild,2019,30006.0,197676.0,26.18,3.0,66.4
,Rebild,2020,30280.0,206334.0,25.5,4.1,66.4
,Rebild,2021,30554.0,225098.0,25.09,3.0,66.0
,Rebild,2022,30807.0,235238.0,25.72,2.1,65.7
,Rebild,2023,30900.0,240695.0,25.72,2.2,65.3
,Ringkøbing-Skjern,2008,58540.0,141087.0,29.81,1.4,68.7
,Ringkøbing-Skjern,2009,58724.0,143055.0,26.91,4.0,68.4
,Ringkøbing-Skjern,2010,58321.0,153539.0,25.66,5.3,68.3
,Ringkøbing-Skjern,2011,58057.0,154060.0,25.91,4.8,68.2
,Ringkøbing-Skjern,2012,57805.0,155092.0,25.89,4.5,68.1
,Ringkøbing-Skjern,2013,57380.0,160451.0,25.19,4.6,68.0
,Ringkøbing-Skjern,2014,57104.0,163247.0,24.67,3.5,68.1
,Ringkøbing-Skjern,2015,57086.0,161871.0,24.68,3.0,67.9
,Ringkøbing-Skjern,2016,57061.0,168951.0,25.65,2.5,67.4
,Ringkøbing-Skjern,2017,57078.0,175325.0,25.2,2.6,67.3
,Ringkøbing-Skjern,2018,57019.0,187345.0,25.2,2.6,67.1
,Ringkøbing-Skjern,2019,56852.0,197208.0,25.68,2.6,66.7
,Ringkøbing-Skjern,2020,56394.0,209796.0,27.15,3.2,66.4
,Ringkøbing-Skjern,2021,56193.0,221255.0,27.42,2.2,66.6
,Ringkøbing-Skjern,2022,56310.0,229127.0,26.55,1.5,66.5
,Ringkøbing-Skjern,2023,56297.0,228177.0,26.56,1.8,66.2
,Samsø,2008,4064.0,130605.0,28.88,3.8,66.5
,Samsø,2009,4021.0,139630.0,27.66,4.7,67.0
,Samsø,2010,3966.0,140542.0,27.61,7.1,66.0
,Samsø,2011,3886.0,143416.0,25.1,6.1,66.9
,Samsø,2012,3866.0,148212.0,23.08,6.3,65.7
,Samsø,2013,3792.0,149778.0,24.35,6.4,66.2
,Samsø,2014,3754.0,149388.0,24.9,5.9,65.7
,Samsø,2015,3718.0,159921.0,24.75,5.2,66.2
,Samsø,2016,3726.0,158238.0,31.3,4.9,65.2
,Samsø,2017,3723.0,161326.0,25.98,5.5,63.7
,Samsø,2018,3708.0,172066.0,27.05,5.4,63.1
,Samsø,2019,3678.0,193024.0,26.49,4.6,62.5
,Samsø,2020,3652.0,190171.0,26.91,4.7,62.2
,Samsø,2021,3695.0,194694.0,27.3,3.8,62.9
,Samsø,2022,3743.0,193436.0,27.18,3.0,63.0
,Samsø,2023,3758.0,201371.0,28.7,2.8,61.5
,Silkeborg,2008,87656.0,140839.0,28.1,1.9,69.7
,Silkeborg,2009,88227.0,142436.0,27.72,4.3,69.7
,Silkeborg,2010,88606.0,148749.0,25.22,5.5,69.8
,Silkeborg,2011,89103.0,149070.0,27.49,5.5,69.8
,Silkeborg,2012,89318.0,154261.0,24.36,5.5,69.6
,Silkeborg,2013,89478.0,155286.0,25.35,5.0,69.5
,Silkeborg,2014,89788.0,158428.0,32.67,4.3,69.4
,Silkeborg,2015,90252.0,159056.0,25.1,4.0,69.2
,Silkeborg,2016,90937.0,157375.0,27.25,3.5,68.8
,Silkeborg,2017,91489.0,170079.0,26.31,3.7,68.7
,Silkeborg,2018,92373.0,180625.0,25.94,3.2,68.4
,Silkeborg,2019,93453.0,195377.0,26.47,3.1,68.1
,Silkeborg,2020,94471.0,213777.0,26.32,3.9,67.9
,Silkeborg,2021,96164.0,230858.0,27.34,2.8,67.8
,Silkeborg,2022,98293.0,232626.0,26.61,2.0,68.0
,Silkeborg,2023,99863.0,239652.0,27.04,2.4,67.5
,Skanderborg,2008,56234.0,147856.0,23.7,1.5,69.5
,Skanderborg,2009,56890.0,148518.0,22.09,3.4,69.6
,Skanderborg,2010,57464.0,158693.0,22.89,4.1,69.3
,Skanderborg,2011,57882.0,158363.0,22.68,3.8,69.2
,Skanderborg,2012,58023.0,163470.0,22.63,3.8,68.9
,Skanderborg,2013,58140.0,165031.0,23.28,3.4,68.8
,Skanderborg,2014,58372.0,172708.0,23.42,3.0,68.9
,Skanderborg,2015,59012.0,171514.0,23.98,2.7,68.7
,Skanderborg,2016,59852.0,171727.0,24.16,2.4,68.2
,Skanderborg,2017,60674.0,177922.0,24.17,2.6,67.7
,Skanderborg,2018,61423.0,185450.0,24.32,2.4,67.2
,Skanderborg,2019,62221.0,202854.0,24.49,2.3,66.8
,Skanderborg,2020,62957.0,224487.0,25.26,3.1,66.2
,Skanderborg,2021,63653.0,249412.0,25.5,2.3,66.0
,Skanderborg,2022,64732.0,250288.0,25.5,1.6,65.7
,Skanderborg,2023,65187.0,251986.0,24.91,2.0,65.1
,Skive,2008,48350.0,138335.0,25.67,2.2,69.2
,Skive,2009,48273.0,141923.0,24.01,5.8,69.1
,Skive,2010,48086.0,146030.0,23.61,6.8,69.2
,Skive,2011,47873.0,151182.0,23.92,5.9,68.9
,Skive,2012,47529.0,153916.0,22.91,5.5,68.9
,Skive,2013,47195.0,155584.0,23.67,4.5,68.8
,Skive,2014,46871.0,157351.0,24.09,3.5,68.6
,Skive,2015,46634.0,156274.0,23.81,3.3,68.5
,Skive,2016,46648.0,160948.0,23.7,2.9,68.2
,Skive,2017,46579.0,159561.0,24.66,3.3,67.9
,Skive,2018,46448.0,171407.0,24.16,2.9,67.3
,Skive,2019,46109.0,186619.0,24.83,2.5,67.3
,Skive,2020,45736.0,199871.0,26.21,3.0,66.9
,Skive,2021,45289.0,206272.0,25.85,2.0,66.6
,Skive,2022,45192.0,214872.0,26.3,1.5,67.0
,Skive,2023,44952.0,226539.0,25.41,2.0,66.4
,Struer,2008,22692.0,141536.0,26.84,2.4,69.4
,Struer,2009,22586.0,143105.0,24.2,5.4,69.2
,Struer,2010,22372.0,153991.0,24.57,6.2,68.9
,Struer,2011,22195.0,160314.0,24.05,6.1,68.9
,Struer,2012,22032.0,162136.0,24.39,6.4,68.6
,Struer,2013,21739.0,165198.0,24.31,6.0,68.6
,Struer,2014,21529.0,169540.0,23.95,4.9,68.7
,Struer,2015,21415.0,167673.0,24.57,4.2,68.2
,Struer,2016,21456.0,167306.0,24.75,3.6,67.3
,Struer,2017,21312.0,170807.0,25.02,3.8,66.8
,Struer,2018,21256.0,179191.0,24.21,3.5,66.6
,Struer,2019,21110.0,187083.0,25.09,3.7,66.2
,Struer,2020,20962.0,202868.0,26.37,4.3,65.6
,Struer,2021,20813.0,210196.0,26.14,3.1,65.6
,Struer,2022,20854.0,216773.0,26.57,2.3,65.5
,Struer,2023,20690.0,215630.0,26.92,2.8,64.7
,Svendborg,2008,59138.0,131235.0,25.45,3.0,70.7
,Svendborg,2009,59130.0,137084.0,25.06,4.8,70.5
,Svendborg,2010,58922.0,144126.0,24.91,6.4,70.2
,Svendborg,2011,58693.0,143813.0,27.06,6.8,70.1
,Svendborg,2012,58487.0,145117.0,25.2,7.1,69.8
,Svendborg,2013,58152.0,149041.0,25.5,6.7,69.5
,Svendborg,2014,57964.0,148072.0,25.79,5.7,69.4
,Svendborg,2015,58098.0,148926.0,26.76,5.1,69.3
,Svendborg,2016,58384.0,155982.0,26.62,4.6,69.0
,Svendborg,2017,58594.0,154767.0,27.0,4.8,68.3
,Svendborg,2018,58696.0,164070.0,26.5,4.3,67.9
,Svendborg,2019,58545.0,178715.0,27.2,4.1,67.3
,Svendborg,2020,58314.0,188439.0,27.96,5.2,67.1
,Svendborg,2021,58860.0,201233.0,28.42,3.7,67.0
,Svendborg,2022,59433.0,208393.0,27.64,2.8,66.7
,Svendborg,2023,59735.0,212204.0,27.68,3.1,66.1
,Syddjurs,2008,41320.0,147629.0,25.76,2.5,69.3
,Syddjurs,2009,41353.0,140706.0,25.45,4.4,69.2
,Syddjurs,2010,41535.0,148749.0,25.49,5.9,69.3
,Syddjurs,2011,41781.0,156178.0,24.46,5.5,69.3
,Syddjurs,2012,41861.0,156702.0,24.03,5.4,69.2
,Syddjurs,2013,41777.0,152553.0,25.05,4.9,69.0
,Syddjurs,2014,41690.0,154557.0,26.14,4.1,68.6
,Syddjurs,2015,41811.0,154614.0,24.54,3.5,68.4
,Syddjurs,2016,41899.0,163344.0,25.41,3.2,67.8
,Syddjurs,2017,42144.0,164910.0,25.2,3.6,67.4
,Syddjurs,2018,42581.0,171594.0,25.29,3.4,66.6
,Syddjurs,2019,42876.0,181565.0,25.41,3.2,66.2
,Syddjurs,2020,43097.0,207724.0,25.46,4.0,65.7
,Syddjurs,2021,43387.0,220775.0,27.51,3.3,65.5
,Syddjurs,2022,43906.0,220689.0,25.94,2.3,65.3
,Syddjurs,2023,44218.0,230079.0,26.33,2.6,64.5
,Sønderborg,2008,76875.0,134647.0,24.89,2.1,68.6
,Sønderborg,2009,76680.0,137489.0,32.85,5.2,68.5
,Sønderborg,2010,76344.0,140082.0,24.39,6.3,68.4
,Sønderborg,2011,76236.0,139370.0,26.43,5.8,68.5
,Sønderborg,2012,75994.0,143144.0,25.32,6.1,68.2
,Sønderborg,2013,75631.0,145757.0,25.04,6.0,68.0
,Sønderborg,2014,75153.0,154643.0,25.77,4.8,67.6
,Sønderborg,2015,74824.0,153491.0,25.78,4.4,67.4
,Sønderborg,2016,74759.0,152575.0,25.45,4.1,67.1
,Sønderborg,2017,74763.0,156522.0,26.61,4.0,66.8
,Sønderborg,2018,74673.0,172264.0,25.89,3.5,66.5
,Sønderborg,2019,74394.0,180695.0,26.5,3.5,66.2
,Sønderborg,2020,74085.0,192902.0,26.23,4.4,65.9
,Sønderborg,2021,73757.0,202256.0,26.85,3.0,65.9
,Sønderborg,2022,74004.0,204191.0,26.76,2.0,66.3
,Sønderborg,2023,74360.0,206197.0,28.17,2.6,66.1
,Thisted,2008,45585.0,131677.0,29.51,1.9,69.4
,Thisted,2009,45448.0,136511.0,26.35,4.2,69.3
,Thisted,2010,45265.0,140143.0,26.42,5.4,69.3
,Thisted,2011,45063.0,144580.0,25.61,4.9,69.5
,Thisted,2012,44754.0,150920.0,24.52,4.7,69.2
,Thisted,2013,44410.0,151635.0,24.54,4.3,69.3
,Thisted,2014,44190.0,152371.0,24.21,3.9,69.1
,Thisted,2015,44034.0,158660.0,24.71,3.7,68.7
,Thisted,2016,43960.0,157615.0,24.95,3.1,68.1
,Thisted,2017,43826.0,166822.0,25.41,3.4,67.7
,Thisted,2018,43718.0,180464.0,24.78,3.1,67.2
,Thisted,2019,43553.0,192937.0,25.89,3.2,66.7
,Thisted,2020,43352.0,203111.0,26.41,4.1,66.5
,Thisted,2021,43136.0,220762.0,26.01,2.6,66.4
,Thisted,2022,43238.0,222995.0,27.0,1.8,66.3
,Thisted,2023,43305.0,218027.0,27.36,2.3,65.6
,Tønder,2008,40354.0,127966.0,30.34,2.4,69.0
,Tønder,2009,40031.0,135261.0,28.86,5.0,68.8
,Tønder,2010,39651.0,140163.0,25.77,6.1,69.3
,Tønder,2011,39368.0,141548.0,25.46,6.0,69.0
,Tønder,2012,38980.0,144193.0,25.5,5.9,69.1
,Tønder,2013,38532.0,151593.0,24.57,6.0,68.7
,Tønder,2014,38180.0,153744.0,25.4,4.9,68.6
,Tønder,2015,37981.0,150307.0,24.62,4.0,68.6
,Tønder,2016,37930.0,156880.0,25.21,3.3,68.0
,Tønder,2017,37864.0,168707.0,25.99,3.6,67.5
,Tønder,2018,37705.0,160885.0,25.3,3.3,67.2
,Tønder,2019,37525.0,175583.0,26.32,3.3,66.6
,Tønder,2020,37228.0,179487.0,26.67,4.0,66.4
,Tønder,2021,36995.0,191261.0,27.8,2.8,66.1
,Tønder,2022,36927.0,199353.0,29.47,1.8,66.0
,Tønder,2023,36790.0,201423.0,27.95,2.1,65.6
,Varde,2008,50284.0,141554.0,28.33,1.3,68.5
,Varde,2009,50434.0,138148.0,27.46,3.3,68.4
,Varde,2010,50409.0,146440.0,25.84,4.5,68.5
,Varde,2011,50330.0,148372.0,25.99,4.1,68.3
,Varde,2012,50125.0,154805.0,25.37,4.2,68.4
,Varde,2013,50000.0,159509.0,25.7,4.1,68.6
,Varde,2014,50028.0,156777.0,25.36,3.1,68.7
,Varde,2015,50190.0,156423.0,24.68,3.0,68.6
,Varde,2016,50384.0,160382.0,25.12,2.6,68.2
,Varde,2017,50439.0,169419.0,25.62,2.8,67.6
,Varde,2018,50226.0,181778.0,24.37,2.8,67.3
,Varde,2019,50121.0,193702.0,24.31,2.5,66.7
,Varde,2020,49864.0,203430.0,24.63,3.3,66.4
,Varde,2021,49679.0,213513.0,25.01,2.4,66.5
,Varde,2022,49842.0,223797.0,26.12,1.6,66.6
,Varde,2023,49963.0,215925.0,25.3,1.9,66.0
,Vejen,2008,42566.0,133712.0,28.28,1.2,68.4
,Vejen,2009,42757.0,142754.0,25.93,3.7,68.0
,Vejen,2010,42792.0,141918.0,25.84,5.4,67.9
,Vejen,2011,42763.0,141759.0,24.35,4.6,68.0
,Vejen,2012,42778.0,150299.0,24.35,4.8,68.0
,Vejen,2013,42664.0,150616.0,24.52,4.8,68.0
,Vejen,2014,42673.0,156593.0,24.64,3.9,68.0
,Vejen,2015,42706.0,154978.0,25.13,3.5,68.2
,Vejen,2016,42856.0,163171.0,25.4,3.2,67.7
,Vejen,2017,42849.0,169573.0,25.74,3.0,67.5
,Vejen,2018,42864.0,179738.0,25.13,2.7,67.5
,Vejen,2019,42796.0,186153.0,25.8,2.6,67.2
,Vejen,2020,42758.0,201905.0,25.74,3.3,67.3
,Vejen,2021,42758.0,218745.0,26.22,2.2,66.8
,Vejen,2022,42721.0,225460.0,26.74,1.4,67.0
,Vejen,2023,42896.0,230573.0,26.71,1.8,66.8
,Vejle,2008,105284.0,144975.0,25.96,1.6,69.8
,Vejle,2009,106135.0,149987.0,25.19,3.9,69.8
,Vejle,2010,106706.0,153314.0,26.41,5.1,69.9
,Vejle,2011,107503.0,157117.0,25.37,4.9,69.9
,Vejle,2012,108326.0,163190.0,25.25,5.1,69.9
,Vejle,2013,109196.0,165920.0,26.57,5.0,69.7
,Vejle,2014,109929.0,171135.0,26.93,4.2,69.6
,Vejle,2015,110948.0,174780.0,26.15,3.8,69.6
,Vejle,2016,112334.0,179257.0,26.32,3.3,69.4
,Vejle,2017,113586.0,181969.0,27.02,3.5,69.0
,Vejle,2018,114347.0,194702.0,26.91,3.2,68.7
,Vejle,2019,115196.0,199841.0,27.29,3.0,68.6
,Vejle,2020,116250.0,220298.0,27.5,4.1,68.6
,Vejle,2021,117731.0,235223.0,28.11,3.0,68.6
,Vejle,2022,119880.0,243818.0,27.01,2.0,68.7
,Vejle,2023,121376.0,242525.0,27.63,2.4,68.3
,Vesthimmerlands,2008,38422.0,140931.0,30.58,2.5,69.0
,Vesthimmerlands,2009,38358.0,140857.0,28.33,5.5,68.4
,Vesthimmerlands,2010,38055.0,147738.0,25.62,6.4,68.6
,Vesthimmerlands,2011,37747.0,153974.0,24.41,6.2,68.7
,Vesthimmerlands,2012,37589.0,153599.0,24.15,5.8,69.0
,Vesthimmerlands,2013,37564.0,155781.0,24.02,5.9,68.8
,Vesthimmerlands,2014,37456.0,154863.0,24.05,5.2,68.4
,Vesthimmerlands,2015,37395.0,154476.0,24.15,4.9,68.2
,Vesthimmerlands,2016,37285.0,164153.0,23.94,4.3,67.9
,Vesthimmerlands,2017,37295.0,163447.0,24.38,4.5,67.4
,Vesthimmerlands,2018,37232.0,169214.0,24.84,4.0,67.0
,Vesthimmerlands,2019,37004.0,182614.0,25.4,3.9,66.4
,Vesthimmerlands,2020,36623.0,193638.0,26.04,4.8,66.1
,Vesthimmerlands,2021,36356.0,208367.0,27.37,3.4,66.0
,Vesthimmerlands,2022,36367.0,212553.0,27.48,2.3,66.1
,Vesthimmerlands,2023,36296.0,216812.0,26.09,2.8,65.6
,Viborg,2008,92353.0,141779.0,26.41,1.6,69.9
,Viborg,2009,93091.0,142638.0,25.29,4.2,69.8
,Viborg,2010,93504.0,147696.0,24.72,5.2,69.7
,Viborg,2011,93672.0,146366.0,24.41,5.0,69.7
,Viborg,2012,94019.0,147186.0,23.81,5.1,69.6
,Viborg,2013,94453.0,149839.0,24.14,4.6,69.3
,Viborg,2014,94722.0,150792.0,24.24,4.1,69.4
,Viborg,2015,95377.0,149994.0,24.57,3.7,69.2
,Viborg,2016,96079.0,154978.0,25.05,3.3,68.7
,Viborg,2017,96731.0,155902.0,25.84,3.4,68.4
,Viborg,2018,97061.0,168090.0,25.33,3.1,68.1
,Viborg,2019,97174.0,186956.0,25.91,3.1,67.7
,Viborg,2020,96744.0,197361.0,26.33,3.8,67.4
,Viborg,2021,96718.0,213727.0,26.33,2.8,67.6
,Viborg,2022,97186.0,222457.0,25.99,2.2,67.8
,Viborg,2023,97608.0,225058.0,25.47,2.5,67.4
,Ærø,2008,6696.0,137388.0,24.6,2.7,67.5
,Ærø,2009,6687.0,134846.0,24.99,4.2,67.6
,Ærø,2010,6682.0,145668.0,24.89,4.8,67.3
,Ærø,2011,6649.0,143387.0,24.44,4.5,67.4
,Ærø,2012,6612.0,153395.0,25.36,5.1,66.2
,Ærø,2013,6471.0,122535.0,27.17,5.5,65.2
,Ærø,2014,6341.0,155909.0,25.18,4.6,65.2
,Ærø,2015,6276.0,154934.0,26.34,4.0,65.3
,Ærø,2016,6239.0,165243.0,26.35,3.9,63.4
,Ærø,2017,6180.0,168225.0,25.24,4.7,63.2
,Ærø,2018,6133.0,173514.0,26.16,3.7,61.9
,Ærø,2019,6024.0,178793.0,24.77,4.0,61.8
,Ærø,2020,5970.0,172576.0,25.61,4.0,61.6
,Ærø,2021,5998.0,181354.0,26.63,3.1,62.0
,Ærø,2022,6039.0,173959.0,27.02,1.8,61.1
,Ærø,2023,6004.0,173361.0,27.67,1.9,60.5
